Hat ID,Hat Color Primary,Hat Color Secondary,Hat Type,Hat Brand,Hat Design,Hat Color Short
1,Eucalyptus,,Beanie,Target,,Green
2,Dark Green,,Beanie,American Eagle,,Green
3,Steel Blue,,Beanie,IBM,Watson,Blue
4,Lime Green,,Beanie,Zara,,Green
5,Black,Red,Beanie,Pepper Palace,,Black
6,Electric Lime,,Beanie,American Eagle,,Green
7,Dark Blue,,Beanie,Columbia,Columbia,Blue
8,Columbia Blue,Black,Cap,Columbia,Crown,Blue
9,Kelly Green,,Cap,,Atlanta,Green
10,Dark Blue,Green,Cap,Hoboken Golf,Hoboken Golf,Blue
11,Forest Green,Red,Beanie,London,London,Green
12,Olive Green,,Docker Cap,,Smile,Green
13,Forest Green,Yellow,Cap,Omega Mart,,Green
14,Cadmium Green,,Cap,MUD,,Green
15,Kelly Green,,Cap,Portugal,Portugal,Green
16,Black,Blue,Cap,Dave & Buster's,Dave & Buster's,Black
17,Black,Green,Cap,Jamaica,Jamaica,Black
18,Jungle Green,,Cap,,,Green
19,Dark Blue,White,Cap,Columbia,Columbia Data Science,Blue
20,Olive Green,,Cap,,Dinosaur,Green
21,Lime Green,,Cap,Black Mesa,Dragon,Green
22,Neon Green,Black,Cap,Sprints,Lightning,Green
23,Navy Blue,Pink,Cap,BE,Axolotl,Blue
24,Kelly Green,White,Cap,Myrtle Beach,Myrtle Beach,Green
25,Electric Lime,,Cap,Sprints,Lightning,Green
26,Kelly Green,,Cap,Daldot,,Green
27,Kelly Green,,Cap,Adidas,,Green
28,Jungle Green,Black,Cap,ABQ Bio Park,ABQ Bio Park,Green
29,Forest Green,,Cap,H&M,,Green
30,Black,Neon Green,Cap,Sprints,Alien,Black
31,Crimson,,Cap,Harvard,Quincy,Red
32,Dark Green,White,Beanie,Utah,Utah,Green
33,Forest Green,,Cap,Tobacco Road,Tobacco Road,Green
34,Kelly Green,White,Cap,Wolf Creek,Wolf,Green
