Jacket ID,Jacket Color Primary,Jacket Color Secondary,Jacket Type,Jacket Brand,Jacket Design,Jacket Color Short
1,Hunter Green,,Winter Jacket,Costco,,Green
2,Forest Green,White,Hoodie,,Attack on Titan,Green
3,Cerulean,,Hoodie,Costco,,Blue
4,Hunter Green,,Hoodie,Costco,,Green
5,Gray,Green,Sweater,H&M,Hulk,Gray
6,Lime Green,,Sweater,Zara,5 Boroughs,Green
7,Mint Green,,Hoodie,Old Navy,,Green
8,Forest Green,,Windbreaker,,Puffy,Green
9,Pistachio,,Hoodie,Costco,,Green
10,Light Green,Pastel Green,Hoodie,Columbia,,Green
11,Cornflour Blue,,Hoodie,,,Blue
12,Moss Green,,Sweater,Mango,,Green
13,Cadmium Green,,Hoodie,,,Green
14,Chartreuse,,Hoodie,Star Wars,Baby Yoda,Green
15,Hunter Green,,Hoodie,Virpo,,Green
16,White,Columbia Blue,Hoodie,Columbia,Columbia,White
17,Black,White,Rain Jacket,Champion,Harvard,Black
18,Light Blue,Lime Green,Windbreaker,Cotopaxi,Cotopaxi,Blue
19,Lime Green,,Pullover,Bethpage,Bethpage,Green
20,Hunter Green,,Pullover,,Fuzzy,Green
21,Eucalyptus,,Rain Jacket,Columbia,,Green
22,Dark Green,Red,Hoodie,,Fuzzy,Green
23,Gray,Columbia Blue,Sweater,Columbia,,Gray
24,Turquoise,,Hoodie,Old Navy,,Green
25,Emerald Green,,Turtleneck,Zara,,Green
26,White,Blue,Sun Hoodie,Columbia,Columbia,White
27,Royal Blue,,Pullover,,,Blue
28,Lime Green,Blue,Hoodie,Nintendo,Luigi,Green
29,Periwinkle,Lime Green,Hoodie,Rugrats,Reptar,Purple
30,Forest Green,,Pullover,Harvard,Leverett,Green
31,Light Green,,Hoodie,all in motion,Scaly,Green
32,Forest Green,Dark Blue,Pullover,,Quilted,Green
33,Cadmium Green,,Sun Hoodie,,,Green
34,Navy Blue,,Suit Jacket,,,Blue
35,Navy Blue,White,Hoodie,,Panda Dab,Blue
36,Electric Lime,Black,Hoodie,Nike,,Green
37,White,Light Blue,Hoodie,Columbia,Columbia,White
38,Black,Brown,Pullover,Patagonia,BRed,Black
39,Lime Green,,Cardigan,H&M,,Green
40,Lime Green,White,Pullover,PGA Tour,Stripes,Green
41,Blue,Lime Green,Rain Jacket,,,Blue
42,Fern Green,,Hoodie,,Finger Holes,Green
43,Pastel Green,,Blazer,Kohl's,,Green
44,Navy Blue,,Hoodie,ATL Fifa Club World Cup,,Blue
45,Black,,Pullover,Patagonia,BRed Line,Black
46,Emerald Green,,Pullover,Izod,Quarter Zip,Green
47,Pastel Green,,Hoodie,Greg Norman,,Green
48,Dark Green,,Hoodie,,Fuzzy,Green
49,Dark Green,Yellow,Sweater,,,Green
50,Forest Green,,Pullover,,,Green
51,Olive Green,Pastel Green,Pullover,,,Green
52,Viridian,,Winter Jacket,,Puffy,Green
53,Forest Green,,Turtleneck,Forever 21,,Green
54,Black,,Blazer,Kohl's,,Black
55,Chartreuse,,Hoodie,,,Green
56,Navy Blue,Orange,Jacket,Japan,Tigers,Blue
57,Olive Green,Neon Green,Sweater,Gravity Vault,,Green
58,Kelly Green,White,Hoodie,Dick's,New Jersey,Green
59,Pistachio,Dark Blue,Hoodie,Old Navy,Black Panther,Green
60,Pistachio,Yellow,Hoodie,Old Navy,Looney Toons,Green
61,White,Brown,Pullover,Polo,Fuzzy,White
62,White,Pink,Sun Hoodie,Axolotls,,White
63,Fern Green,,Hoodie,Sun Stone,Fuzzy,Green
64,Lime Green,Black,Hoodie,Givenchy,,Green
