Pants ID,Pants Color Primary,Pants Color Secondary,Pants Type,Pants Brand,Pants Design,Pants Color Short
1,Light Blue,White,Pajama Pants,Star Wars,Baby Yoda,Blue
2,Forest Green,,Joggers,American Eagle,,Green
3,Black,,Joggers,American Eagle,,Black
4,Cadmium Green,,Joggers,,,Green
5,Chartreuse,,Sweatpants,Adidas,Emojis,Green
6,Eucalyptus,,Sweatpants,,,Green
7,Gray,Crimson,Sweatpants,Quincy,Quincy,Gray
8,Olive Green,,Japanese Leisure Pants,,,Green
9,Black,,Pants,Forever 21,,Black
10,Black,White,Sweatpants,BRed Line,Toast,Black
11,Forest Green,,Sweatpants,,,Green
12,Aquamarine,,Sweatpants,Old Navy,,Green
13,Crimson,,Joggers,American Eagle,,Red
14,Dark Green,Lime Green,Pajama Pants,Care Bears,Care Bears,Green
15,Forest Green,White,Swishy Sweatpants,Holloway,Daldot,Green
16,Forest Green,Red,Pajama Pants,Old Navy,Candy Canes,Green
17,Black,Electric Lime,Shorts,Adidas,,Black
18,Gray,,Sweatpants,Monstercat,Monstercat,Gray
19,Black,Kelly Green,Sweatpants,Adidas,Lego,Black
20,Olive Green,,Joggers,American Eagle,,Green
21,Pastel Green,,Sweatpants,H&M,,Green
22,Forest Green,Gray,Sweatpants,Nike,,Green
23,Navy Blue,,Joggers,American Eagle,,Blue
24,White,Black,Joggers,American Eagle,,White
25,Lime Green,,Golf Pants,Royal Awesome,,Green
26,Verdigris,,Khakis,Docker,,Green
27,Emerald Green,,Khakis,Polo,,Green
28,Forest Green,Black,Dress Pants,Forever 21,Wicked,Green
29,Olive Green,,Joggers,American Eagle,Fuzzy,Green
30,Black,,Dress Pants,Kohl's,,Black
31,Navy Blue,,Dress Pants,,,Blue
32,Blue,,Sweatpants,Nike,,Blue
33,Verdigris,,Joggers,,,Green
34,Dark Blue,,Dress Pants,Kohl's,,Blue
35,Black,White,Sweatpants,Zara,Basketball,Black
36,Navy Blue,,Swishy Sweatpants,Nike,,Blue
37,Lime Green,White,Sweatpants,H&M,,Green
38,Olive Green,,Joggers,American Eagle,Corduroys,Green
39,Khaki,,Joggers,American Eagle,,Brown
40,Black,Gray,Joggers,Forever 21,,Black
41,Black,Electric Lime,Sweatpants,Adidas,,Black
42,Purple,,Shorts,And1,,Purple
43,Emerald Green,Neon Green,Shorts,Nike,,Green
44,Olive Green,,Cargo Pants,American Eagle,,Green
45,Emerald Green,Dark Blue,Shorts,Nike,,Green
46,Lime Green,Blue,Shorts,Hawks,,Green
47,Emerald Green,White,Shorts,Adidas,,Green
48,Gray,Red,Sweatpants,Adidas,,Gray
49,Light Green,,Shorts,allinmotion,,Green
50,Lime Green,Blue,Shorts,Atlanta Hawks,Atlanta Hawks,Green
51,Forest Green,White,Golf Shorts,,Sailboats,Green
52,Brown,,Khakis,,,Brown
53,White,Black,Jogger Shorts,American Eagle,,White
54,Army Green,,Joggers,American Eagle,,Green
55,Kelly Green,Dark Blue,Shorts,,,Green
56,Emerald Green,,Khaki Shorts,Dockers,,Green
57,Electric Lime,Jungle Green,Shorts,Nike,Tropical Plants,Green
58,Lime Green,White,Golf Shorts,IZOD,,Green
59,Pastel Green,,Dress Pants,Kohl's,,Green
60,Forest Green,Gray,Shorts,,,Green
61,Black,Pink,Sweatpants,VCU,Axolotls,Black
62,Black,White,Shorts,BRed Line,Toast,Black
63,Dark Blue,Jungle Green,Golf Shorts,,Tropical Plants,Blue
64,Emerald Green,Navy,Shorts,Nike,,Green
65,Light Sea Green,,Golf Shorts,,Tropical Plants,Green
66,Emerald Green,,Swim Trunks,,,Green
67,Black,Electric Lime,Shorts,And1,,Black
68,Navy Blue,Electric Lime,Shorts,,,Blue
69,Black,Electric Lime,Shorts,Nike,,Black
70,Emerald Green,,Golf Shorts,Dockers,,Green
71,Seafoam Green,,Shorts,,Tropical Plants,Green
72,Cadmium Green,,Shorts,allinmotion,,Green
73,Electric Lime,,Shorts,Reebok,,Green
74,Emerald Green,,Pajama Pants,H&M,Golf,Green
75,Olive Green,,Joggers,Gap,,Green
76,Red,,Sweatpants,GACS,,Red
77,Gray,Light Green,Shorts,Nike,,Gray
78,Moss Green,,Pants,Sonoma,,Green
79,Jungle Green,,Pajama Pants,LL Bean,,Green
80,Deep Blue,Light Green,Aladdin Pants,,,Blue
81,Khaki,Green,Joggers,Monstercat,Instinct,Brown
82,Black,,Joggers,American Eagle,Fuzzy,Black
83,Jungle Green,Red,Pajama Pants,Old Navy,Plaid,Green
84,Dark Green,,Shorts,St. John's Bay,,Green
85,Pastel Green,,Shorts,H&M,,Green
86,Emerald Green,Yellow,Sweatpants,Adidas,Jamaica,Green
87,Black,Pink,Shorts,VCU,Axolotls,Black
88,Light Green,,Sweatpants,Tek Gear,,Green
89,Black,,Jogger Shorts,American Eagle,,Black
90,Emerald Green,,Jogger Shorts,American Eagle,,Green
91,Lime Green,White,Swim Trunks,Polo,,Green
