Shirt ID,Shirt Color Primary,Shirt Color Secondary,Shirt Type,Shirt Brand,Shirt Design,Shirt Color Short
1,Lime Green,Crimson,T-Shirt,,Harvantis,Green
2,Lime Green,,Polo,Grand Slam,,Green
3,Kelly Green,Yellow,Long Sleeve,Reebok,Power Rangers,Green
4,Forest Green,,Long Sleeve,Polo,,Green
5,Cadmium Green,Yellow,T-Shirt,,Sunrise,Green
6,Cornflour Blue,,Long Sleeve,,,Blue
7,Dark Green,Pastel Green,T-Shirt,H&M,,Green
8,Lime Green,Blue,T-Shirt,Nike,Tribal,Green
9,Seafoam Green,,Long Sleeve,Columbia,,Green
10,Pastel Green,Jungle Green,Button-Up Shirt,Columbia,Tropical Plants,Green
11,Kelly Green,White,T-Shirt,Dollar Store,Do Your Thing,Green
12,Dark Green,Green,T-Shirt,Macy's,Hulk,Green
13,Blue,White,T-Shirt,Zoom,Zoom,Blue
14,Lime Green,White,T-Shirt,Nintendo,Luigi,Green
15,Lime Green,Dark Green,Athletic Shirt,MUD,Summer Ultmate,Green
16,Lime Green,Dark Green,T-Shirt,New Mexico,Mainframe,Green
17,Lime Green,Black,T-Shirt,Valdolsta State,Valdolsta State,Green
18,Olive Green,,Henley,American Eagle,,Green
19,Forest Green,White,Button-Up Shirt,Forever 21,,Green
20,Dark Blue,White,T-Shirt,Columbia,DSI,Blue
21,Kelly Green,Blue,T-Shirt,Hoboken,Hoboken,Green
22,Forest Green,Yellow,Long Sleeve,Monstercat,,Green
23,Electric Lime,,T-Shirt,Harvard,Harvard Law School Conference,Green
24,Lime Green,Red,T-Shirt,Nintendo,Bowser Jr.,Green
25,Lime Green,Gray,Athletic Shirt,Harvard,Harvard Ultimate,Green
26,Blue,Grass Green,Athletic Shirt,MUD,MUD,Blue
27,Lime Green,White,T-Shirt,Hawaiian Rumble,Hawaiian Rumble,Green
28,Hunter Green,White,T-Shirt,Fossil Butte,Fossil Butte,Green
29,Olive Green,Crimson,T-Shirt,Harvard,Harvard,Green
30,Pistachio,,Polo,Hoboken Golf,Hoboken Golf,Green
31,Kelly Green,White,T-Shirt,Olympics,Olympics,Green
32,Blue,Light Blue,Button-Up Shirt,Kohl's,Squirtle,Blue
33,Jungle Green,Light Blue,Polo,Kohl's,Bananas,Green
34,Cadmium Green,,Polo,Greg Norman,,Green
35,Lime Green,,Polo,,Golf Clubs,Green
36,Forest Green,Light Green,T-Shirt,Old Navy,Indoors Club,Green
37,Blue,Turquoise,T-Shirt,Adidas,,Blue
38,Lime Green,,Athletic Shirt,MUD,MUD,Green
39,Dark Green,Light Blue,T-Shirt,Beaver Creek,Beaver Creek,Green
40,Dark Green,,Long Sleeve,St. John's Bay,,Green
41,Dark Green,Black,Button-Up Shirt,Forever 21,Wicked,Green
42,Blue,Lime Green,T-Shirt,,T-Rex,Blue
43,Electric Lime,,Athletic Shirt,,,Green
44,Moss Green,,Henley,American Eagle,,Green
45,Olive Green,Red,T-Shirt,Canada,Canada,Green
46,Jungle Green,Black,T-Shirt,Germany,,Green
47,Blue,Orange,T-Shirt,Dave and Buster's,Dave and Buster's,Blue
48,Electric Lime,,Athletic Shirt,Harvard,Harvard,Green
49,Dark Green,,Athletic Shirt,Underarmour,,Green
50,Blue,Red,T-Shirt,Olympics,France,Blue
51,Jungle Green,White,Button-Up Shirt,American Eagle,Tropical Plants,Green
52,Lime Green,Black,Polo,Urban Outfitters,,Green
53,Lime Green,,Polo,Underarmour,,Green
54,Kelly Green,Yellow,Button-Up Shirt,H&M,Boba Fett,Green
55,Gray Green,,Long Sleeve,American Eagle,,Green
56,Kelly Green,Yelllow,T-Shirt,Target,Harry Potter,Green
57,Nyanza,,T-Shirt,H&M,,Green
