Shoe ID,Shoe Color Primary,Shoe Color Secondary,Shoe Type,Shoe Brand,Shoe Design,Shoe Color Short
1,Forest Green,Lime Green,Sneakers,Nike,Kobe,Green
2,Black,Lime Green,Sneakers,Nike,,Black
3,Matcha Green,,Slip-on Shoes,Moln,,Green
4,Aquamarine,Light Green,Sneakers,Nike,,Green
5,Forest Green,Orange,Sandals,Adidas,,Green
6,Electric Lime,Black,Sandals,Nike,,Green
7,Black,Kelly Green,Sneakers,Adidas,Lego,Black
8,Lime Green,Emerald Green,Sneakers,Nike,,Green
9,Black,Red,Sneakers,Nike,,Black
10,Black,Electric Lime,Sneakers,Nike,Curry,Black
11,White,Forest Green,Golf Shoes,Malbon,,White
12,Olive Green,Brown,Slippers,LL Bean,,Green
13,Electric Lime,,Slip-on Shoes,Moln,,Green
14,Army Green,,Boots,Timberland,,Green
15,White,Turquoise,Sneakers,Allbirds,,White
16,Electric Lime,Blue,Sneakers,Adidas,,Green
17,Crimson,Neon Green,Sneakers,Nike,Darth Maul,Red
18,Neon Green,Black,Sneakers,Adidas,,Green
19,Neon Green,Black,Sneakers,Sketchers,,Green
20,Forest Green,White,Sneakers,Reebok,,Green
21,Brown,,Dress Shoes,LL Bean,,Brown
22,Lime Green,White,Sneakers,Allbirds,,Green
23,Black,,Dress Shoes,LL Bean,,Black
24,Black,Neon Green,Sneakers,Nike,Air Max,Black
