Sock ID,Sock Color Primary,Sock Color Secondary,Sock Brand,Sock Design,Sock Color Short
1,Lime Green,,Stance,Grinch,Green
2,Green,Blue,Nintendo,Luigi,Green
3,Black,Neon Green,Stance,Space,Black
4,Black,Green,Stance,Grinch,Black
5,Fern Green,Black,Stance,Christmas,Green
6,Eucalyptus,Fern Green,,Fuzzy,Green
7,Kelly Green,,Nike,Santa,Green
8,White,Green,Roots,Elk,White
9,White,Blue,Nintendo,Mushroom,White
10,Black,Neon Green,Nike,,Black
11,Dark Green,,,Fuzzy,Green
12,Neon Green,Black,Polo,,Green
13,Light Green,Brown,Stance,Baby Yoda,Green
14,Neon Green,Black,Nike,,Green
15,Black,Blue,Carolina Panthers,Carolina Panthers,Black
16,Crimson,White,Harvard,Harvard,Red
17,Jungle Green,White,Stance,Snakes,Green
18,OIive Green,Black,Stance,Christmas,Green
19,Aquamarine,Blue,Louvre,Mona Lisa,Green
20,Forest Green,Dark Green,13th Tribe,Tribal,Green
21,Lime Green,Light Green,,Golf,Green
22,Black,Green,Nike,,Black
23,Electric Lime,Black,Stance,,Green
24,Brown,Light Brown,Nintendo,Donkey Kong,Brown
25,Olive Green,Gray,,Wooly,Green
26,Olive Green,,Stance,,Green
27,Black,Electric Lime,Nike,Air Jordan,Black
28,Blue,Black,Nike,,Blue
29,Lime Green,Black,Polo,,Green
30,Electric Lime,Neon Green,Stance,People,Green
31,Turquoise,,,,Green
32,Black,Electric Lime,Underarmour,,Green
33,Forest Green,Yellow,Old Navy,Pineapples,Green
34,Forest Green,,Uniqlo,,Green
35,Dark Green,Gold,Stance,Donavon Mitchell,Green
36,Lime Green,Black,,Flames,Green
37,White,Red,Heatonist,Flame,White
38,Aquamarine,Black,Louvre,Mona Lisa,Green
39,Olive Green,Red,Stance,Monster,Green
40,White,Green,Dick's,Ski,White
41,Sky Blue,Black,Atlanta Hawks,Atlanta Hawks,Blue
42,Olive Green,Blue,Idaho,Moose,Green
43,Red,White,Atlanta Hawks,Atlanta Hawks,Red
44,Forest Green,Red,Roots,Bears,Green
45,White,Green,,Yoshi,White
46,Black,Neon Green,Atlanta Hawks,Atlanta Hawks,Black
47,Dark Green,Black,,Fuzzy,Green
48,Black,Lime Green,,Lizard Wizard,Black
49,Black,Red,,Mortal Kombat,Black
50,Black,Electric Lime,Nike,,Black
51,White,Red,Heatonist,,White
52,Kelly Green,,Uniqlo,,Green
53,Neon Green,,Stance,,Green
54,Olive Green,,Uniqlo,,Green
55,Emerald Green,Gray,Harry Potter,Slytherin,Green
56,Dark Green,White,Roots,Beaver,Green
57,Black,Forest Green,Harry Potter,Slytherin,Black
58,White,Dark Green,Stance,Aztec,White
59,White,Electric Lime,Nike,,White
60,Forest Green,,NXTBRND,,Green
61,Kelly Green,White,Amazon,,Green
62,Electric Lime,Gray,Amazon,,Green
63,Seafoam Green,Gray,Amazon,,Green
64,White,,Nintendo,Mario Kart,White
65,Green,Red,Christmas,Penguins,Green
66,Gray,Green,Old Navy,T-Rex,Gray
67,Lime Green,,Amazon,,Green
68,Lime Green,White,Mint,Leaves,Green
69,Mint Green,,Amazon,,Green
70,White,Blue,Nintendo,Toad,White
71,Pastel Green,Pink,Dick's,Christmas,Green
72,Dark Green,Black,Roots,Plaid,Green
73,Forest Green,White,,Stripes,Green
74,Forest Green,Red,Dick's,Sports,Green
75,Gray,Green,,Test Tubes,Gray
76,Blue,Red,Nintendo,Mario,Blue
77,Black,Red,,Dragons,Black
78,White,Kelly Green,Dick's,Clovers,White
79,Black,Blue,IBM,Bees,Black
80,Black,White,London Museum,Rosetta Stone,Black
