Date,Gym,City,Climbers,V0s Attempted,V0s Completed,V1s Attempted,V1s Completed,V2s Attempted,V2s Completed,V3s Attempted,V3s Completed,V4s Attempted,V4s Completed,V5s Attempted,V5s Completed
2024-01-26,Gravity Vault,Hoboken,,1,1,2,2,2,2,3,1,0,0,0,0
2024-03-08,Central Rock Gym,Hoboken,"Wilson, Joe",0,0,3,3,4,2,2,1,0,0,0,0
2024-05-03,Gravity Vault,Hoboken,,0,0,3,3,4,2,2,1,0,0,0,0
2024-05-10,Gravity Vault,Hoboken,,2,2,3,3,4,2,5,2,0,0,0,0
2024-05-25,Gravity Vault,Hoboken,,2,2,4,4,6,4,7,3,0,0,0,0
2024-05-28,Gravity Vault,Hoboken,,1,1,3,3,8,5,4,3,1,0,0,0
2024-05-31,Gravity Vault,Hoboken,,3,3,5,5,5,4,3,2,0,0,0,0
2024-06-03,Gravity Vault,Hoboken,,1,1,2,2,4,3,3,3,0,0,0,0
2024-06-04,Gravity Vault,Hoboken,,1,1,2,2,3,3,2,2,1,0,0,0
2024-06-10,Gravity Vault,Hoboken,,1,1,2,2,3,2,4,2,2,0,0,0
2024-06-12,Gravity Vault,Hoboken,,0,0,3,3,2,2,5,4,1,0,0,0
2024-06-15,Gravity Vault,Hoboken,,4,4,5,5,3,3,9,7,4,1,0,0
2024-06-16,Gravity Vault,Hoboken,,0,0,2,2,1,1,5,3,1,0,1,0
2024-06-19,Central Rock Gym,Manhattan,"Wilson, Joe",1,1,1,1,3,3,8,4,5,0,0,0
2024-06-27,Gravity Vault,Hoboken,,2,2,2,2,2,1,3,3,1,1,1,0
2024-07-08,Gravity Vault,Hoboken,,2,2,3,3,1,1,5,2,1,1,1,0
2024-07-09,Gravity Vault,Hoboken,,1,1,1,1,4,3,7,3,4,1,2,1
2024-07-11,Central Rock Gym,Manhattan,"Wilson, Dan, Keith",1,1,3,3,3,3,5,2,6,1,3,0
2024-07-14,Gravity Vault,Hoboken,,1,1,1,1,1,1,7,4,3,2,1,0
2024-07-17,Gravity Vault,Hoboken,,0,0,3,3,4,2,10,7,3,2,0,0
2024-07-23,Gravity Vault,Hoboken,,2,2,3,3,2,2,7,5,4,2,0,0
2024-07-24,Gravity Vault,Hoboken,,0,0,4,4,3,3,3,3,4,1,0,0
2024-08-01,,Paris,Wilson,0,0,1,1,1,1,5,3,3,0,0,0
2024-08-13,Gravity Vault,Hoboken,,1,1,1,1,3,3,5,3,2,0,1,0
2024-08-17,Gravity Vault,Hoboken,Joe,1,1,2,2,4,3,7,5,3,0,0,0
2024-08-27,Central Rock Gym,Manhattan,"Joe, Dan, Wilson, Keith",0,0,1,1,3,3,5,4,3,1,1,0
2024-09-11,Central Rock Gym,Manhattan,"Joe, Wilson, Keith",1,1,3,3,5,5,5,3,1,0,0,0
2024-10-02,Central Rock Gym,Manhattan,"Keith, Wilson, Dan",1,1,3,3,5,5,5,3,1,0,2,1
2024-10-31,Central Rock Gym,Manhattan,Joe,1,1,5,5,3,2,3,1,2,0,0,0
2024-11-01,Gravity Vault,Hoboken,,1,1,5,5,3,2,3,1,2,0,0,0
2024-11-15,Gravity Vault,Hoboken,,2,2,3,3,4,4,6,4,1,0,0,0
2024-11-20,Central Rock Gym,Manhattan,"Dan, Keith, Wilson, Joe",0,0,4,4,3,3,5,3,2,1,0,0
2024-12-09,Gravity Vault,Hoboken,,2,2,5,5,4,4,3,3,2,0,0,0
