Date,Day,Week,Month,Sky,High Temperature (F),Low Temperature (F),Wake Up City,Wake Up State,Wake Up Country,Sleep City,Sleep State,Sleep Country,Cities Visited,States Visited,Countries Visited,Wake Up Time,Bedtime,Hours slept,Naps taken,Morning Phone Battery (%),Morning Mood,Night Mood,Sick?,Shirt Type,Shirt Color Primary,Shirt Color Secondary,Shirt Company,Shirt Design,Shirt Color Short,Pants Type,Pants Color Primary,Pants Color Secondary,Pants Brand,Pants Design,Pants Color Short,Shoe Type,Shoe Color Primary,Shoe Color Secondary,Shoe Brand,Shoe Design,Shoe Color Short,Underwear Color Primary,Underwear Color Secondary,Underwear Type,Underwear Color Short,Sock Color Primary,Sock Color Secondary,Sock Company,Sock Design,Sock Color Short,Contacts/Glasses?,Glasses Color,Hat?,Hat Color Primary,Hat Color Secondary,Hat Type,Hat Company,Hat Design,Hat Color Short,Undershirt?,Undershirt Color,Undershirt Color Secondary,Undershirt Company,Undershirt Design,Undershirt Color Short,Jacket?,Jacket Color,Jacket Color Secondary,Jacket Type,Jacket Company,Jacket Design,Jacket Color Short,Clothes Layers,Breakfast,Lunch,Dinner,Dessert,Snacks Eaten,Cooked Breakfast?,Cooked Lunch?,Lunch Leftovers?,Cooked Dinner?,Dinner Leftovers?,Cooked Dessert?,Restaurant Breakfast,Restaurant Lunch,Restaurant Dinner,Restaurant Dessert,Breakfast Rating,Lunch Rating,Dinner Rating,Dessert Rating,Fruit Eaten,Vegetables Eaten,Meat Eaten,Breakfast Notes,Lunch Notes,Dinner Notes,Dessert Notes,Streaming Service Breakfast,Streaming Service Lunch,Streaming Service Dinner,Show Watched During Breakfast,Show Watched During Lunch,Show Watched During Dinner,Times watched TV,Went to grocery store?,Went Outside?,Outside Feel,Gym?,Cardio?,Cardio Duration (minutes),Lifting?,Lifting Duration (minutes),Sports Played,Public Transportation Used,In Car?,Drove?,Uber/Lyft?,People seen in person,People seen virtually,People I called,People called me,Things I worked on,Coding Languages Used,Brushed Teeth?,Flossed?,Times pooped,Times peed,Zoom?,Video games played,Alcohol?,# of Drinks,Drink Type
2024-01-01,Monday,1,January,Sunny,48,48,Norcross,Georgia,USA,Norcross,Geogria,USA,Norcross,Georgia,USA,11:00,00:00,9,0,85,Good,Good,FALSE,Long Sleeve,Forest Green,,Blank,,Green,Pajama Pants,Forest Green,Red,Candy Canes,,Green,Sneakers,Black,Green,Nike,,Black,Blue,Red,Boxers,Blue,Blue,White,Atlanta Hawks,,Blue,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,1,Blueberry Pancakes w/ Bacon,,Spaghetti with Italian Sausage,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,8,,8,,Banana,,"Bacon, Beef",Mom cooked classic blueberry pancakes and bacon,,Dad cooked classic spaghetti,,Youtube,,Youtube,Rooflemonger MK1 Geras Tutorial,,Coney: Why Smash Ultimate Sucks in 2023,2,FALSE,TRUE,Chilly,FALSE,FALSE,0,FALSE,0,,,TRUE,FALSE,FALSE,"Mom, Dad, Matthew, Morgan",,Mom,"Ashley, Mom",,,TRUE,TRUE,2,3,FALSE,"Super Mario Bros. Wonder, Mortal Kombat 1, Parchisi",FALSE,0,
2024-01-02,Tuesday,1,January,Sunny,40,40,Norcross,Georgia,USA,Norcross,Geogria,USA,Norcross,Georgia,USA,10:00,00:00,10,0,13,Good,Good,FALSE,T-Shirt,Bright Blue,White,Zoom,,Blue,Joggers,Verdigris,,Blank,,Green,Sneakers,Neon Green,Blue,Nike,,Green,Blue,,Boxers,Blue,Dark Green,Red,Roots,,Green,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Olive Green,Lime Green,Pullover,,,Green,2,Waffles,Chick-fil-a Spicy Deluxe,Turkey Burger with Broccoli,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Chick-fil-a,,,7,9,7,,Banana,Broccolli,"Turkey, Chicken",Mom cooked waffles,Best Chicken Sandwich,Satisfying meal,,,Disney+,Disney+,,What If?,What If?,2,FALSE,TRUE,Good,TRUE,TRUE,20,TRUE,30,,,TRUE,FALSE,FALSE,"Mom, Dad, Matthew, Morgan",,"Mom, Matthew",Mom,MSPCFO Endpoint,python,TRUE,TRUE,2,4,FALSE,Mortal Kombat 1,FALSE,0,
2024-01-03,Wednesday,1,January,Sunny,38,38,Norcross,Georgia,USA,Hoboken,New Jersey,USA,"Norcross, Atlanta, Hoboken","Georgia, New Jersey",USA,08:00,02:00,8,2,40,Bad,Ok,FALSE,T-Shirt,Olive Green,Orange Red,King Ghidora,,Green,Joggers,Dark Green,,American Eagle,,Green,Sneakers,Neon Green,Blue,Nike,,Green,Blue,White,Boxers,Blue,Black,Green,Stance,,Black,Glasses,Green,TRUE,Kelly Green,,Beanie,Zara,,Green,FALSE,,,,,,TRUE,"Gray, Hunter Green","Green, ","Sweater, Hoodie",,,Green,3,Yogurt and Banana,,Spinach Salad with Tomato and Mozzarella,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,5,,7,,"Banana, Tomato","Spinach, Beet",Bacon,Woke up late and had to rush out of the house,,Needed to make a quick salad,,,,Disney+,,,What If?,1,TRUE,TRUE,Good,FALSE,FALSE,0,FALSE,0,,Airplane,TRUE,FALSE,Lyft,"Mom, Morgan",Joe,Joe,"Joe, Ashley",MSPCFO Endpoint,python,TRUE,TRUE,1,3,FALSE,,FALSE,0,
2024-01-04,Thursday,1,January,Cloudy,36,36,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,07:30,02:00,5.5,2,60,Good,Ok,FALSE,Long Sleeve,Forest Green,,Polo,,Green,Sweatpants,Pastel Green,,H&M,,Green,Slip-on Shoes,Electric Lime,,Moln,,Green,Red,Green,Boxers,Red,Neon Green,Green,Stance,,Green,Glasses,Green,TRUE,Kelly Green,,Beanie,Zara,,Green,FALSE,,,,,,TRUE,Dark Green,Gray,Hoodie,,,Green,2,,Mozzarella Tomato Rice Pilaf,Black Pepper Jalepeño Turkey Salad w/ Tomatoes and Mozzarella,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,6,9,,"Banana, Mango, Tomato",,Turkey,,Did not have leftovers from dinner so threw together something quick,"Definitely one of my better dishes, spicy and tomato goes really well together and the mozzarella hits as usual",,,YouTube,Youtube,,penguinz0,Nando Cut: Sentry Video,2,FALSE,TRUE,Good,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,,"Scialabba, Won, Chandler, Jackson, Brett, Sam, Sam C.",,,MSPCFO Endpoint,python,TRUE,TRUE,1,4,TRUE,,FALSE,0,
2024-01-05,Friday,1,January,Sunny,38,25,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,09:30,00:00,7.5,1,10,Good,Good,FALSE,Athletic Shirt,Seafoam Green,,Blank,,Green,Sweatpants,Pastel Green,,H&M,,Green,Slip-on Shoes,Electric Lime,,Moln,,Green,Green,Blue,Boxers,Green,Neon Green,Green,Stance,,Green,Glasses,Green,TRUE,Kelly Green,,Beanie,Zara,,Green,FALSE,,,,,,TRUE,"Mint Green, Forest Green",,"Hoodie, Hoodie",,,Green,3,,Black Pepper Jalepeño Tureky Salad w/ Mozzarella,Broccolli Pizza and Mac and Cheese Pizza,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,Tony Baloney's,,,9,8,,"Banana, Mango",Broccolli,Turkey,,"Still hits as leftovers, I gotta remember what I did to make this lol",Tony Baloney's slaps as always. The broccoli pizza was surprisingly good,,,,nbabite,,,Sixers vs. Knicks,1,TRUE,TRUE,Good,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,Deezy,,Jiwei,,"TulipAI Grant, ScholarlySync",python,TRUE,TRUE,2,3,TRUE,"Super Mario Bros. Wonder, Parchisi",FALSE,0,
2024-01-06,Saturday,1,January,Snow,39,34,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,"Hoboken, Manhattan","New Jersey, New York",USA,06:00,03:00,6,4,20,Bad,Good,FALSE,Long Sleeve,Forest Green,,Blank,,Green,Swishy Sweatpants,Navy Blue,,Nike,,Blue,Sneakers,Black,Green,Nike,,Black,Blue,Red,Boxers,Blue,Gray,,,,Gray,Glasses,Green,TRUE,Kelly Green,,Beanie,Zara,,Green,FALSE,,,,,,TRUE,"Dark Green, Green",,"Pullover, Winter Jacket",,,Green,3,,"Pancakes, Pulled Pork Sandwich, and Chorizo Sandwich w/ Fries",,Skinny Pop,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Phoenicia Diner,,,,9,,9,"Strawberry, Blueberry",Collard Greens,"Chorizo, Pork",,"Phoenicia diner is delicious as always. The apple cider pancakes were slightly disappointing but good nevertheless. Their original pancakes are perfectly fluffy and have a flavor that sends your tastebuds craving for more. The chorizo sandwich was really good, the ideal balance between spicy and savory. The pulled pork sandwich had its highs and lows. The lows were the collard greens and the highs were everything other than the collard greens. Fries were also solid",,Skinny Pop is fire,,,Netflix,,,Devil's Plan,1,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,Ski,,TRUE,FALSE,FALSE,Deezy,,,"Ashley, Deezy","MSPCFO Endpoint, MylesAI",python,TRUE,TRUE,2,4,FALSE,Super Mario Bros. Wonder,TRUE,1,High Noon
2024-01-07,Sunday,2,January,Rain,38,34,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,10:00,02:00,7,2,60,Good,Good,FALSE,Button Up Shirt,Dark Green,Neon Green,all in motion,,Green,Shorts,Light Green,,Adidas,,Green,Sandals,Green,Orange,Adidas,,Green,White,Blue,Boxers,White,,,,,,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,FALSE,,,,,,,1,,Black Pepper Jalepeño Turkey Salad w/ Tomatoes and Mozzarella,BBQ Salmon w/ Peppers,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,9,8,,"Banana, Mango, Tomato",Spinach,Turkey,,This meal is really putting in work and it doesn't get old,Solid salmon meal,,,Netflix,,,Devil's Plan,,1,FALSE,FALSE,,TRUE,TRUE,30,TRUE,30,,,FALSE,FALSE,FALSE,,,Ashley,Ashley,MSPCFO Endpoint,python,TRUE,TRUE,1,2,FALSE,Parchisi,FALSE,0,
2024-01-08,Monday,2,January,Sunny,44,32,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,09:30,02:00,7.5,0,30,Good,Good,FALSE,Button Up Shirt,Dark Green,Neon Green,all in motion,,Green,Pajama Pants,Forest Green,Red,Candy Canes,,Green,Sandals,Green,Orange,Adidas,,Green,Purple,White,Boxers,Purple,Green,Yellow,Stance,,Green,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Black,Lime Green,Hoodie,,,Black,2,,Black Pepper Jalepeño Turkey w/ Mozzarella,Ratatouie Bites,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,7,2,,"Banana, Watermelon",,Turkey,,Finished up the leftovers,These tasted really bad. I think I hate ratatouille,,,Netflix,Netflix,,Devil's Plan,Devil's Plan,2,TRUE,TRUE,Chilly,TRUE,TRUE,10,TRUE,30,,,FALSE,FALSE,FALSE,,,,,"MSPCFO Endpoint, ScholarlySync",python,TRUE,TRUE,1,2,TRUE,Parchisi,FALSE,0,
2024-01-09,Tuesday,2,January,Drizzle,56,32,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,10:00,02:00,8,0,10,Ok,Good,FALSE,Button Up Shirt,Dark Blue,Green,Dinosaurs,,Blue,Pajama Pants,Forest Green,Red,Candy Canes,,Green,Slippers,Olive Green,Brown,LL Bean,,Green,Purple,White,Boxers,Purple,Lime Green,Black,Polo,,Green,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Hunter Green,,Hoodie,,,Green,2,,BBQ Salmon w/ Peppers and Rice,Grilled Cheese Toad-in-a-Hole w/ Tomato Mustard Sauce,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,8,9,,"Banana, Grape, Peppers, Tomato",,"Salmon, Eggs",,Salmon leftovers,"I'm actually shocked the tomato sauce worked out, I created it on a whim. The pepper really ties the sauce together and forms a bridge between the brightness of the tomato and the tartness of the mustard. The toad-in-the-hole with grilled cheese on top was also very good but the sauce really hit the dish to a whole new level",,,YouTube,YouTube,,Vile Eye,Game Theory: Goodbye Internet,2,FALSE,FALSE,,FALSE,FALSE,0,FALSE,0,,,FALSE,FALSE,FALSE,,,,,"MSPCFO Endpoint, ScholarlySync",python,TRUE,TRUE,2,3,FALSE,Big Brain Academy: Brain vs. Brain,FALSE,0,
2024-01-10,Wednesday,2,January,Windy,56,39,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,10:00,02:00,8,1,90,Good,Good,FALSE,T-Shirt,Lime Green,White,Luigi,,Green,Sweatpants,Chartreuse,,Adidas,,Green,Sandals,Green,Orange,Adidas,,Green,Blue,,Boxers,Blue,,,,,,Glasses,Green,FALSE,,,,,,,FALSE,,,,,,TRUE,Hunter Green,,Hoodie,,,Green,2,,Grilled Cheese Toad-in-a-Hole w/ Tomato Mustard Sauce,Calamari Salad,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,9,9,,"Grape, Tomato",Lettuce,"Eggs, Calamari",,Hits on the second time around,"Calamari from Whole foods was delicious, worked well on top of the salad",,,YouTube,YouTube,,Kofi: I feel bad for Jordan Poole,Schaffrillas Productions: Ranking Wii Remote Sounds in Brawl,2,FALSE,TRUE,Cold,TRUE,TRUE,10,TRUE,30,,,FALSE,FALSE,FALSE,,,,"Mom, Joe","MSPCFO Endpoint, TS Grant, ScholarlySync",python,TRUE,TRUE,2,2,TRUE,"Big Brain Academy: Brain vs. Brain, Parchisi",FALSE,0,
