Date,Course,Tee Time,Group Size,Weather,Players,Game,Duration (minutes),Cart?,Scramble Partner,Cart Partner,Tee Box,Holes Played,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules Taken,Tees Broken,Putts,GIR%,FIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys,Oofs,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2024-03-22,Arroyo del Oso Golf Course,12:20,2,Sunny,Tom,Regular,129,No,,,White,9,47,,,1,0,1,,0,21,44,86,0,0,4,0,3,2,3,1,0,0,0,6,3,,Seafoam Green,Black,Green,Black/Green,
2024-08-30,Bethpage Black,10:40,4,Sunny,"Jed, Kevin, Deezy",Regular,315,No,,,White,18,120,60,60,7,0,6,,0,40,0,36,0,0,0,0,1,2,3,8,4,0,2,11,5,,Jungle Green,Green,Green,White/Green,Green
2024-11-02,Bethpage Green,08:00,4,Sunny,"Jiwei, Jed, Kevin",Wolf,292,Yes,,Jiwei,Black,18,97,,,6,0,1,,0,39,17,71,0,0,3,0,3,6,7,2,0,0,2,11,5,Lime Green,Lime Green,Emerald Green,Green,White/Green,Green
2024-07-20,Bethpage Yellow,13:00,4,Sunny,"Jed, Jiwei, Deezy",Regular,149,Yes,,,White,9,45,,,1,0,1,,0,16,11,43,0,0,1,0,2,4,3,0,0,0,2,7,0,,Jungle Green,Seafoam Green,Dark Blue,White/Green,Jungle Green
2024-11-02,Bethpage Yellow,14:00,4,Sunny,"Jiwei, Jed, Kevin",Skins,240,Yes,,Jiwei,Black,9,35,,,,,,,,,,,0,0,8,2,5,2,0,0,0,,,,,Lime Green,Lime Green,Emerald Green,Green,White/Green,Green
2024-03-21,Black Mesa Golf Club,11:20,2,Sunny,Brian,Regular,234,Yes,,Brian,White,18,99,46,53,2,1,4,,2,40,39,86,0,0,1,0,4,5,5,2,2,0,2,11,5,Hunter Green,Lime Green,Emerald Green,Green,Black/Green,
2024-09-01,Cherry Creek Golf Course | The Links,13:00,4,Rainy,"Jiwei, Jordan, Kevin",2 Man Scramble,270,Yes,Kevin,Kevin,White,18,74,37,37,2,0,0,,0,30,75,85,0,0,6,3,11,4,0,0,0,0,6,12,0,,Lime Green,Green,Green,White/Green,Green
2024-09-01,Cherry Creek Golf Course | The Woods,09:30,4,Rainy,"Jordan, Random, Random",Regular,241,Yes,,Jordan,White,18,92,49,43,2,1,3,,0,28,17,31,0,0,3,0,4,10,2,1,1,0,8,9,1,,Lime Green,Green,Green,White/Green,Green
2024-03-15,Durango Hills Golf Course,14:15,3,Rain,"Scialabba, Jackson",Regular,200,Yes,,Scialabba,,18,,,,2,1,3,,1,,,,0,0,2,0,1,,,,0,0,0,,,,Lime Green,Emerald Green,Green,Black/Green,
2024-04-13,Farmstead Golf and Country Club,13:10,4,Rain,"Jiwei, Deezy, Kevin",Regular,252,Yes,,,White,18,105,51,54,1,1,4,,2,37,0,23,0,0,0,0,2,3,9,3,1,0,3,11,4,,Lime Green,Lincoln Green,White,White/Green,Lime Green
2024-09-28,Farmstead Golf and Country Club,08:00,4,Rainy,"Kevin, Jason, Josh",Regular,284,Yes,,Kevin,Blue,18,99,51,48,3,0,1,,0,28,0,33,0,0,0,0,3,4,8,3,0,1,6,11,0,,Aquamarine,Light Green,Black,White/Green,Dark Blue/Forest Green
2024-09-28,Farmstead Golf and Country Club,13:00,4,Rainy,"Jiwei, Jed, Kevin, Jason, Josh, Proulx, Deezy",4 Man Scramble,120,Yes,"Jiwei, Jed, Kevin",Kevin,Blue,9,30,,,0,0,0,,0,14,,,1,1,5,3,4,1,0,0,0,0,4,5,0,,Aquamarine,Light Green,Black,White/Green,Dark Blue/Forest Green
2024-06-23,Francis A. Byrne Golf Course,09:00,4,Partly Cloudy,"Kevin, Paul, Jed",Regular,247,No,,,White,18,96,46,50,1,0,3,,1,33,6,86,0,0,1,0,2,8,6,2,0,0,4,11,3,,Celadon,Green,Gray,White/Green,Forest Green
2024-10-20,Francis A. Byrne Golf Course,07:40,4,Sunny,"Jiwei, Jed, Kevin",Wolf,252,Yes,,Kevin,White,18,107,55,52,2,1,3,,8,36,0,64,0,0,0,0,1,5,4,8,0,0,3,12,3,Lime Green,Celadon,Green,Black,White/Green,Jade
2024-07-20,Gull Haven,07:20,4,Sunny,"Jed, Jiwei, Deezy",Power-Up,110,No,,,White,9,50,,,,,,,,,,,,,,,,,,,,0,,,,,Jungle Green,Seafoam Green,Dark Blue,White/Green,Jungle Green
