Date,Resort,First Lift Time,Duration (hrs),Conditions,Crowd (1-5),Lifts Ridden,Heighest Lift (ft),Green,Blue,Terrain Park,Black,Double Black,Green Falls,Blue Falls,Terrain Falls,Black Falls,Double Black Falls,Total Falls,Collisions
2023-12-10,Hunter,08:19,,Ice and dirt,1,6,661,4,2,0,0,0,1,1,0,0,0,2,0
2024-01-06,Hunter,07:02,,Icy but actual snow this time,3,10,8935,2,6,0,2,0,0,8,0,3,0,11,0
2024-02-04,Big Boulder,08:37,1,Fresh Tracks,1,6,2000,2,1,1,2,0,0,0,0,0,0,0,0
2024-02-04,Jack Frost,1899-12-30 10:30:00,5.5,Snow and Ice,4,19,2175,3,7,1,8,0,0,0,1,3,0,3,0
2024-02-04,Big Boulder,1899-12-30 19:00:00,0.5,Icy and Dark,3,4,2000,1,1,1,1,0,0,0,0,0,0,0,0
2024-02-10,Stowe,09:30,6.5,Snow and Ice,3,10,19500,0,3,0,7,4,0,2,0,1,4,7,1
2024-03-23,Keystone,08:30,5,Snow and Ice,1,10,14066,2,7,0,1,0,0,1,0,0,0,1,0
2024-03-24,Vail,09:30,4.5,Snow,2,9,12207,1,4,0,4,0,1,0,0,3,0,4,0
2024-03-25,Beaver Creek,09:30,5.5,Fresh Powder,2,11,13064,6,3,0,2,0,2,0,0,0,0,2,0
2024-03-26,Breckenridge,08:48,7,Snow,2,16,19617,4,5,0,1,1,0,0,0,0,3,5,0
2024-03-27,Vail,08:39,4,Snow,3,10,12207,4,5,0,1,1,0,0,0,0,2,2,0
2024-03-28,Park City,10:05,6,Snow,5,14,18195,4,6,0,2,1,0,0,0,0,0,0,0
2024-03-29,Park City,08:49,7,Snow,4,13,18195,3,3,0,1,0,0,0,0,0,0,0,0
2024-12-14,Killington,08:20,6,Snow and Ice,3,9,8597,9,6,0,5,0,2,1,0,0,0,4,0
2024-12-15,Killington,08:20,5,Snow and Ice,3,11,8597,9,10,0,6,0,3,1,0,1,0,5,0
