Date,Day,Week,Month,Sky,High Temperature (F),Low Temperature (F),Feels Like (F),Wake Up City,Wake Up State,Wake Up Country,Sleep City,Sleep State,Sleep Country,Cities Visited,States Visited,Countries Visited,Wake Up Time,Bedtime,Hours slept,Naps taken,Nap Duration (hours),Morning Phone Battery (%),Fun Meter (1-10),Sick?,Shirt ID,Shirt Type,Shirt Color Primary,Shirt Color Secondary,Shirt Brand,Shirt Design,Shirt Color Short,Pants ID,Pants Type,Pants Color Primary,Pants Color Secondary,Pants Brand,Pants Design,Pants Color Short,Shoe ID,Shoe Type,Shoe Color Primary,Shoe Color Secondary,Shoe Brand,Shoe Design,Shoe Color Short,Underwear Color Primary,Underwear Color Secondary,Underwear Type,Underwear Color Short,Sock ID,Sock Color Primary,Sock Color Secondary,Sock Brand,Sock Design,Sock Color Short,Contacts/Glasses?,Glasses Color,Hat?,Hat ID,Hat Color Primary,Hat Color Secondary,Hat Type,Hat Brand,Hat Design,Hat Color Short,Jacket?,Jacket ID,Jacket Color Primary,Jacket Color Secondary,Jacket Type,Jacket Brand,Jacket Design,Jacket Color Short,Clothes Layers,Breakfast,Lunch,Dinner,Dessert,Snacks Eaten,Candy Eaten,Cooked Breakfast?,Cooked Lunch?,Lunch Leftovers?,Cooked Dinner?,Dinner Leftovers?,Cooked Dessert?,Restaurant Breakfast,Restaurant Lunch,Restaurant Dinner,Restaurant Dessert,Breakfast Rating,Lunch Rating,Dinner Rating,Dessert Rating,Fruit Eaten,Vegetables Eaten,Meat Eaten,Other Eaten,Breakfast Notes,Lunch Notes,Dinner Notes,Dessert Notes,Streaming Service Breakfast,Streaming Service Lunch,Streaming Service Dinner,Show Watched During Breakfast,Show Watched During Lunch,Show Watched During Dinner,Times watched TV,Went to grocery store?,Went Outside?,Outside Feel,Gym?,Cardio?,Cardio Duration (minutes),Lifting?,Lifting Duration (minutes),Steps Taken,Distance Traveled (miles),Floors Walked,Resting Heart Rate,Peak Heart Rate,Calories Burned,Sports Played,Duration (minutes),Public Transportation Used,In Car?,Drove?,Uber/Lyft?,People seen in person,Things I worked on,Coding Languages Used,Brushed Teeth?,Flossed?,Times pooped,Times peed,Zoom?,Video games played,Board games played,Alcohol?,# of Drinks,Drink Type
2025-01-01,Wednesday,1,January,Cloudy,50,28,34,Norcross,Georgia,USA,Norcross,Georgia,USA,Norcross,Georgia,USA,10:00,02:00,9,0,0,50,7,TRUE,1,T-Shirt,Lime Green,Crimson,,Harvantis,Green,1,Pajama Pants,Light Blue,White,Star Wars,Baby Yoda,Blue,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Gray,,Boxers,Gray,1,Lime Green,,Stance,Grinch,Green,Glasses,Green,FALSE,,,,,,,,TRUE,1,Hunter Green,,Winter Jacket,Costco,,Green,2,,Blueberry Pancakes,Baked Spaghetti,,Skinny Pop,"Sour Gummy Bear, Hot Tamales, Hot Tamales, Hot Tamales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,7,8,,"Banana, Blueberry",,Sausage,,,The classic,Baked spaghetti is amazing,,,,Cable,,,Hawks vs. Nuggets,1,FALSE,FALSE,,FALSE,FALSE,0,FALSE,0,4280,1.99,10,61,133,2507,,,,FALSE,FALSE,FALSE,"Mom, Dad, Matthew",MylesAI,R,TRUE,TRUE,2,3,FALSE,Marvel Rivals,,FALSE,0,
2025-01-02,Thursday,1,January,Cloudy,50,35,40,Norcross,Georgia,USA,Richmond,Virginia,USA,"Norcross, Richmond","Georgia, Virginia",USA,10:00,02:00,8,1,0.5,49,9,FALSE,2,Polo,Lime Green,,Grand Slam,,Green,2,Joggers,Forest Green,,American Eagle,,Green,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Green,Red,Boxers,Green,1,Lime Green,,Stance,Grinch,Green,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,2,Forest Green,White,Hoodie,,Attack on Titan,Green,2,,Blueberry Pancakes,Spicy chicken sandwich,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Chick-Fil-A,,,7,8,,"Banana, Blueberry",,Chicken,,,The classic,,,,,Crunchyroll,,,Blue Lock,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,15959,7.42,29,61,114,3261,,,Airplane,TRUE,FALSE,FALSE,"Mom, Dad, Matthew, Bambi, Michael, Joe, Jiwei",MylesAI,R,TRUE,TRUE,2,3,FALSE,Marvel Rivals,,TRUE,1,Cocktail
2025-01-03,Friday,1,January,Partly Cloudy,49,23,37,Richmond,Virginia,USA,Richmond,Virginia,USA,Richmond,Virginia,USA,10:00,02:00,8,0,0,32,10,FALSE,3,Long Sleeve,Kelly Green,Yellow,Reebok,Power Rangers,Green,3,Joggers,Black,,American Eagle,,Black,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Blue,Green,Boxers,Blue,2,Green,Blue,Nintendo,Luigi,Green,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,1,Hunter Green,,Winter Jacket,Costco,,Green,2,Yogurt,Beef Curry,Steak w/ Mac and Cheese,,"Pretzels, Cool Ranch Doritos",,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,8,9,,,"Potato, Carrot, Lettuce",Beef,,Servicable,Great beef stew provided by Zada and Michael,Fantastic steak and mac and cheese,,,,Crunchyroll,,,Blue Lock,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,12040,5.53,18,60,116,3562,Disc Golf,180,,TRUE,FALSE,FALSE,"Bambi, Michael, Joe, Jiwei",,,TRUE,TRUE,2,3,FALSE,"Mario Kart, Big Brain Academy: Brain vs. Brain",,TRUE,6,"Seltzer, Seltzer, Seltzer, Seltzer, Seltzer, Beer, Beer"
2025-01-04,Saturday,1,January,Sunny,39,16,20,Richmond,Virginia,USA,Richmond,Virginia,USA,Richmond,Virginia,USA,10:00,02:00,8,0,0,39,10,FALSE,4,Long Sleeve,Forest Green,,Polo,,Green,2,Joggers,Forest Green,,American Eagle,,Green,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Blue,White,Boxers,Blue,1,Lime Green,,Stance,Grinch,Green,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,1,Hunter Green,,Winter Jacket,Costco,,Green,2,,Bacon and Eggs,Lamb Platter,,Pretzels,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Halal Munchies,,,8,9,,,"Lettuce, Cucumber","Bacon, Egg, Lamb",,,Great breakfast made by the groomsmen,Great halal place in richmond with ridiculous portions for an insanely cheap price. If I went to college around there I would spam that place so hard,,,,Crunchyroll,,,Blue Lock,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,10793,4.68,12,61,121,3876,"Basketball, Disc Golf","180, 180",,TRUE,FALSE,FALSE,"Bambi, Michael, Joe, Jiwei",,,TRUE,TRUE,2,3,FALSE,"Mario Kart, Big Brain Academy: Brain vs. Brain",,TRUE,7,"Seltzer, Seltzer, Seltzer, Seltzer, Seltzer, Seltzer, Beer, Beer"
2025-01-05,Sunday,2,January,Partly Cloudy,42,29,32,Richmond,Virginia,USA,Norcross,Georgia,USA,"Richmond, Atlanta, Norcross","Georgia, Virginia",USA,09:00,00:00,7,1,1,50,9,FALSE,3,Long Sleeve,Kelly Green,Yellow,Reebok,Power Rangers,Green,2,Joggers,Forest Green,,American Eagle,,Green,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Green,Red,Boxers,Green,3,Black,Neon Green,Stance,Space,Black,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,1,Hunter Green,,Winter Jacket,Costco,,Green,2,,Rainbow Bagel,Chicken Platter,,Skinny Pop,"Hot Tamales, Hot Tamales, Hot Tamales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,7,9,,Grape,,Chicken,,,Solid bagel with great cream cheese,,,,,,,,,0,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,7139,3.28,8,65,141,2870,,,Airplane,TRUE,FALSE,FALSE,"Mom, Dad, Matthew, Bambi, Michael, Joe, Jiwei",,,TRUE,TRUE,2,3,FALSE,Marvel Rivals,,FALSE,0,
2025-01-06,Monday,2,January,Rain,49,26,43,Norcross,Georgia,USA,Norcross,Georgia,USA,Norcross,Georgia,USA,08:00,23:00,8,0,0,100,7,FALSE,5,T-Shirt,Cadmium Green,Yellow,,Sunrise,Green,4,Joggers,Cadmium Green,,,,Green,2,Sneakers,Black,Lime Green,Nike,,Black,Green,Blue,Boxers,Green,4,Black,Green,Stance,Grinch,Black,Glasses,Green,TRUE,2,Dark Green,,Beanie,American Eagle,,Green,TRUE,1,Hunter Green,,Winter Jacket,Costco,,Green,2,,Blueberry Pancakes,Orange Chicken,,Skinny Pop,"Sour Albanese Gummy Bears, Hot Tamales, Hot Tamales, Hot Tamales",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,8,8,,"Blueberry, Banana",,Chicken,,,The classic,TJ Orange chicken strikes again,,,,,,,,0,FALSE,TRUE,Chilly,TRUE,TRUE,10,TRUE,30,6572,3.06,13,64,113,2619,,,,TRUE,FALSE,FALSE,"Mom, Dad, Matthew",,,TRUE,TRUE,2,3,FALSE,Marvel Rivals,,FALSE,0,
2025-01-07,Tuesday,2,January,Cloudy,33,19,12,Norcross,Georgia,USA,Hoboken,New Jersey,USA,"Norcross, Atlanta, Newark, Hoboken","Georgia, New Jersey",USA,04:30,02:00,5.5,1,1,56,6,FALSE,6,Long Sleeve,Cornflour Blue,,,,Blue,2,Joggers,Forest Green,,American Eagle,,Green,1,Sneakers,Forest Green,Lime Green,Nike,Kobe,Green,Green,Blue,Boxers,Green,5,Fern Green,Black,Stance,Christmas,Green,Glasses,Green,TRUE,3,Steel Blue,,Beanie,IBM,Watson,Blue,TRUE,3,Cerulean,,Hoodie,Costco,,Blue,2,Yogurt + Banana,Chicken Quesadilla,Honey Garlic Salmon Salad,,Stoffel,Sour Albanese Gummy Bears,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,,,,8,9,,Banana,"Corn, Lettuce","Chicken, Salmon",,Early morning so I had to get something quick,TJ chicken quesadilla was great,First meal I cooked in a while and I still got it. Honey Garlic Salmon is really really good,,,Netflix,Netflix,,Squid Game,Squid Game,2,TRUE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,9699,4.46,17,64,127,2855,,,Airplane,TRUE,FALSE,Uber,"Mom, Jiwei",,,TRUE,TRUE,2,3,FALSE,,,FALSE,0,
2025-01-08,Wednesday,2,January,Cloudy,30,22,9,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,11:00,01:00,9,0,0,100,6,FALSE,7,T-Shirt,Dark Green,Pastel Green,H&M,Indoors Club,Green,5,Sweatpants,Chartreuse,,Adidas,Emojis,Green,3,Slip-on Shoes,Matcha Green,,Moln,,Green,Blue,White,Boxers,Blue,1,Lime Green,,Stance,Grinch,Green,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,4,Hunter Green,,Hoodie,Costco,,Green,2,,Honey Garlic Salmon Salad,Chao Tom w/ Broccoli and Carrot and Mushrooms,,"Jalepeño Chips, Skinny Pop",Green Tea Mints,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,9,9,,Banana,"Broccoli, Mushroom, Carrot, Lettuce","Salmon, Shrimp",,,The salmon made good leftovers too,Another TJ item that I was curious about. It's a Thai dish called Chao Tom which is basically fried shrimp on sugar cane. Really good and the sugar cane was surprisingly nice to chew on.,,,Netflix,Netflix,,Squid Game,Cobra Kai,2,TRUE,TRUE,Cold,TRUE,FALSE,0,TRUE,30,6267,3.31,7,63,102,2400,,,,TRUE,FALSE,FALSE,Jiwei,MylesAI,R,TRUE,TRUE,2,3,FALSE,,,FALSE,0,
2025-01-09,Thursday,2,January,Windy,34,22,9,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,10:00,00:00,9,0,0,100,6,FALSE,8,T-Shirt,Lime Green,Blue,Nike,Tribal,Green,6,Sweatpants,Eucalyptus,,,,Green,3,Slip-on Shoes,Matcha Green,,Moln,,Green,Blue,Green,Boxers,Blue,6,Eucalyptus,Fern Green,,Fuzzy,Green,Glasses,Green,TRUE,1,Eucalyptus,,Beanie,Target,,Green,TRUE,5,Gray,Green,Sweater,H&M,Hulk,Gray,2,,Chao Tom w/ Broccoli and Carrot and Mushrooms,Kofta Meatballs over Rice,,"Jalepeño Chips, Skinny Pop","Haribo Watermelons, Albanese Albanese Gummy Bears",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,9,9,,Banana,"Broccoli, Mushroom, Carrot, Beet","Shrimp, Turkey",,,I liked the leftovers just as much,Amazing meal. I made the meatballs with berber and harissa seasoning along with black pepper. I then added beats to the meat and rolled them into balls. I cooked the balls for 10 minutes and then poured water into the pan and cooked them for an additional 4 minutes. I then put rice and harissa sauce on a plate then the meatballs on top. I also put some lime juice over the meatballs since I noticed it was missing something. My only mistake was not seasoning the meat as well but all in all a great meal,,,Hulu,Hulu,,Abbott Elementary,What We Do In The Shadows,2,TRUE,TRUE,Freezing,TRUE,TRUE,10,TRUE,30,12335,5.68,37,63,115,2997,,,,FALSE,FALSE,FALSE,Jiwei,MylesAI,R,TRUE,TRUE,2,2,FALSE,,,FALSE,0,
2025-01-10,Friday,2,January,Cloudy,39,26,24,Hoboken,New Jersey,USA,Hoboken,New Jersey,USA,"Hoboken, Manhattan","New Jersey, New York",USA,08:00,02:00,8,0,0,50,8,FALSE,9,Long Sleeve,Seafoam Green,,Columbia,,Green,7,Sweatpants,Gray,Crimson,Quincy,Quincy,Gray,3,Slip-on Shoes,Matcha Green,,Moln,,Green,Green,Red,Boxers,Green,7,Kelly Green,,Nike,Santa,Green,Glasses,Green,TRUE,4,Lime Green,,Beanie,Zara,,Green,TRUE,6,Lime Green,,Sweater,Zara,,Green,2,,Kofta Meatballs over Rice,Dim Sum,,"Jalepeño Chips, Skinny Pop, Turtle Chips",,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,9,10,,Banana,"Beet, Cabbage, Carrot","Turkey, Tilapia, Shrimp, Chicken, Pork, Beef",,,Great leftovers,Can't go wrong with Dim Sum Palace,,,Hulu,,,What We Do In The Shadows,,1,FALSE,TRUE,Cold,FALSE,FALSE,0,FALSE,0,9034,4.18,10,63,128,3211,Golf Simulator,120,"NJTransit Bus, NJTransit Bus, Subway, Subway",FALSE,FALSE,FALSE,"Jiwei, Jed, Kevin, Deezy, Leo, Tharan","MylesAI, PreceptorFit","R, python",TRUE,TRUE,2,3,FALSE,Golf Simulator,,TRUE,3,"Margerita, Seltzer, Seltzer"
