Date,Course,Tee Time,Weather,Duration (minutes),Group Size,Players,Scramble Team,Contributions,Solo Birdies?,Cart?,Cart Partner,Tee Box,Distance,Holes Played,Own Score?,Game,Par,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules,Putts,FIR%,GIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys+,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2025-06-08,Skyway Golf Course,13:00,Rain,20,4,"Random, Random, Random",,,,No,,Gold,3020,2,Yes,Regular,7,9,,,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,0,Lime Green,Lime Green,Dark Green,Electric Lime,White/Green,Cadmium Green
2025-05-26,Heartland,08:00,Sunny,90,6,"Kevin, Tharan, Deezy, Nik, Jed","Myles, Kevin, Tharan, Deezy, Nik, Jed",,,No,,Back,2440,9,No,Scramble,27,24,,,0,0,0,0,13,,,0,0,9,4,5,0,0,0,1,3,5,0,,Lime Green,Green,White,Electric Lime,Jungle Green
2025-07-07,RiverPines Par 3 Course,11:00,Sunny,60,2,Dad,,,,No,,Blue,1902,9,Yes,Regular,27,27,,,0,0,0,0,15,78,39,0,0,7,2,6,0,1,0,0,4,5,0,,Lime Green,Gray,Neon Green,Matcha Green,Kelly Green
2025-12-23,RiverPines Par 3 Course,13:30,Sunny,60,1,,,,,No,,Blue,1902,9,Yes,Regular,27,29,,,0,0,0,0,17,,78,0,0,7,1,5,3,0,0,0,2,6,1,Pastel Green,Cornflour Blue,Verdigris,Olive Green,White/Green,Dark Green
2025-11-26,RiverPines Par 3 Course,11:00,Sunny,96,5,"Dad, David, Landon, Tyler",,,,No,,Blue,1902,9,Yes,Regular,27,30,,,0,0,0,0,14,,56,0,0,5,0,7,1,1,0,1,2,6,0,,Jungle Green,Verdigris,Lime Green,White/Green,Lime Green
2025-12-27,RiverPines Par 3 Course,10:00,Sunny,54,2,Dad,,,,No,,Blue,1902,9,Yes,Regular,27,32,,,0,0,0,0,0,,44,0,0,4,1,4,2,2,0,0,2,6,1,,Lime Green,Khaki,,,
2025-03-15,Skyway Golf Course,16:40,Cloudy,138,3,"Jiwei, Jed","Jiwei, Jed",,,No,,Blue,2966,9,No,Scramble,36,34,,,0,0,2,0,16,,,0,0,3,3,6,1,0,0,0,3,6,0,Forest Green,Forest Green,Black,Olive Green,White/Green,Dark Blue
2025-08-02,Skyway Golf Course,15:20,Sunny,126,4,"Kevin, Chris, Eddie",Kevin,,1,No,,Black,3247,9,No,Scramble,36,34,,,0,0,1,0,12,,,0,0,6,4,3,2,0,0,0,5,4,0,,White,Light Green,Olive Green,White/Green,Cadmium Green
2025-07-21,Skyway Golf Course,11:30,Sunny,129,3,"Kevin, Random",Kevin,,0,No,,Black,3247,9,No,Scramble,36,36,,,0,0,0,0,12,,,0,0,4,2,5,2,0,0,1,4,3,1,,Olive Green,Navy,Green,White/Green,Kelly Green
2025-10-19,Legends Golf Course | Moorland,08:48,Sunny,90,4,"Jiwei, Kevin, Random",,,,Yes,Kevin,Blue,6737,9,No,Scramble,36,36,,,0,0,0,0,15,,,1,0,4,2,5,2,0,0,0,4,4,1,,Lime Green,Forest Green,Lime Green,White/Green,Lime Green
2025-03-16,Skyway Golf Course,13:00,Windy,125,2,Jed,Jed,,,No,,Blue,2966,9,No,Scramble,36,37,,,0,0,1,0,16,,,0,0,2,0,8,1,0,0,0,2,0,0,Lime Green,Lime Green,Emerald Green,Lime Green,White/Green,Lime Green
2025-06-16,Skyway Golf Course,15:00,Sunny,129,4,"Jiwei, Kevin, Random","Myles, Jiwei, Kevin","9.33, 16.33, 11.33",0,No,,Black,3247,9,No,Scramble,36,37,,,0,0,1,1,14,,,0,0,4,1,7,2,0,0,1,3,5,0,,Kelly Green,White,Lime Green,White/Green,
2025-08-09,Skyway Golf Course,16:50,Sunny,150,4,"Kevin, Jiwei, Jed",Kevin,,0,No,,Black,3247,9,No,Scramble,36,38,,,0,0,1,0,16,,,0,0,1,1,5,3,0,0,1,0,8,0,,Electric Lime,Light Green,Crimson,White/Green,Cadmium Green
2025-03-19,Skyway Golf Course,08:00,Sunny,110,2,Kevin,Kevin,,,No,,Blue,2966,9,No,Scramble,36,40,,,0,0,1,0,18,,,0,0,3,0,5,4,0,0,0,1,8,0,Cadmium Green,Electric Lime,Forest Green,Black,White/Green,Eucalyptus
2025-08-09,Skyway Golf Course,14:40,Sunny,150,4,"Jordan, Random, Random",Jordan,,0,No,,Blue,4936,9,No,Scramble,36,41,,,0,0,2,0,14,,,0,0,1,0,5,3,1,0,0,4,5,0,,Electric Lime,Light Green,Crimson,White/Green,Cadmium Green
2025-09-05,Skyway Golf Course,09:10,Sunny,130,4,"Kevin, Random, Random",,,,No,,Black,3247,9,Yes,Regular,36,41,,,0,0,1,1,13,22,0,0,0,0,0,5,3,1,0,0,5,4,0,,Lime Green,Blue,Black,White/Green,Cadmium Green
2025-07-25,Skyway Golf Course,09:00,Sunny,135,3,"Jiwei, Random",Jiwei,,0,No,,Black,3247,9,No,Scramble,36,42,,,1,0,0,0,18,,,0,0,3,0,5,2,2,0,0,1,7,1,,Lime Green,Light Sea Green,,White/Green,Lime Green
2025-04-05,Neshanic Valley Golf Course | Academic Course,08:30,Rain,104,4,"Kevin, Jiwei, Jed",,,,No,,Blue,4038,9,Yes,Stableford,32,43,,,4,0,1,1,17,33,20,0,0,3,0,2,4,2,1,0,3,4,2,Hunter Green,Lime Green,Brown,Black,White/Green,Eucalyptus
2025-04-24,Skyway Golf Course,09:40,Sunny,128,2,Kevin,,,,No,,Black,3247,9,Yes,Regular,36,43,,,0,0,1,1,16,67,33,0,0,3,0,4,3,2,0,0,1,8,0,,Lime Green,Olive Green,Black,White/Green,Forest Green
2025-08-17,Skyway Golf Course,13:30,Sunny,76,4,"Kevin, Jiwei, Deezy",,,,No,,Black,3247,9,Yes,Regular,36,43,,,0,0,0,0,17,33,33,0,0,3,0,3,5,1,0,0,2,6,1,,Lime Green,Forest Green,Seafoam Green,White/Green,Dark Blue
2025-09-27,Skyway Golf Course,14:50,Cloudy,154,4,"Leo, Random, Random",,,,Yes,Leo,White,5678,9,Yes,Regular,36,43,,,2,0,0,0,15,50,33,0,0,3,0,3,5,1,0,0,4,4,1,,Pistachio,Forest Green,Lime Green,Electric Lime,Dark Blue
2025-03-10,Skyway Golf Course,08:00,Cloudy,109,2,Kevin,,,,No,,Gold,3020,9,Yes,Regular,36,44,,,0,0,1,0,17,100,33,0,0,3,0,3,4,2,0,0,2,6,1,Forest Green,Lime Green,Navy Blue,White,White/Green,Eucalyptus
2025-06-09,Skyway Golf Course,10:00,Sunny,129,3,"Jiwei, Kevin",,,,No,,Gold,3020,9,Yes,Regular,36,46,,,0,0,0,0,20,50,33,0,0,0,0,2,5,1,1,0,0,7,2,,Cadium Green,Forest Green,Black,White/Green,Dark Blue
2025-05-01,Skyway Golf Course,10:10,Sunny,158,2,Kevin,,,,No,,Black,6494,9,Yes,Regular,36,47,,,0,0,1,1,15,33,11,0,0,0,1,1,2,5,0,1,1,7,0,,Lime Green,Forest Green,Electric Lime,White/Green,
2025-03-16,Skyway Golf Course,16:00,Windy,138,4,"Tharan, Nik, Jed",,,,No,,Gold,3020,9,Yes,Regular,36,48,,,0,0,1,0,17,100,22,0,0,2,0,1,5,2,1,0,2,6,1,Lime Green,Lime Green,Emerald Green,Lime Green,White/Green,Lime Green
2025-03-15,Skyway Golf Course,14:20,Cloudy,109,3,"Jiwei, Jed",,,,No,,Gold,3020,9,Yes,Regular,36,49,,,0,0,1,0,19,67,11,0,0,1,0,1,3,5,0,0,0,8,1,Forest Green,Forest Green,Black,Olive Green,White/Green,Dark Blue
