Date,Restaurant,Address,Restaurant Type,Group,Price Range,Price,Appetizer?,Appetizer Ordered,Appetizer Rating,Food Ordered,Food Rating,Side?,Side Ordered,Side Rating,Dessert?,Dessert Ordered,Dessert Rating,Drink?,Drink Ordered,Drink Rating,Service Rating,Overall Rating,Notes
2025-01-31,Dinosaur BBQ,"700 W 125th St, New York",BBQ,"Kevin, Opara, Leo, Jed, Jiwei, Deezy",$20-$30,45,TRUE,Green Fried Tomatoes,8,"Brisket, Pulled Chicken",9,TRUE,"Sweet Potato Puree, Mac and Cheese, Cornbread",9,TRUE,Key Lime Pie,8,TRUE,Apple Pie Cocktail,10,8,9,Pulled Chicken was sensational. The apple pie cocktail was also sensational. Everything else was great but I ate before so I couldn't finish the whole meal. The service was kinda slow but they did give us free cornbread at the end which made up for it
2025-02-03,Mr. Wraps,,Chicken Wraps,,$10-$20,12,FALSE,,,Chicken Fajita Wrap,9,FALSE,,,FALSE,,,FALSE,,,6,7,Extremely slept on place in Hoboken
2025-02-04,Napoli's Pizza,,Pizza,,$5-10,7,FALSE,,,"Chicken Bacon Ranch Pizza, Chipotle Chicken Pizza",9,FALSE,,,FALSE,,,FALSE,,,7,9,Might be my favorite pizza place in hoboken nowadays
2025-02-05,Turning Point,,Brunch,,$20-$40,,,,,,,,,,,,,,,,,,
2025-02-05,Empanada Cafe,,Empanadas,,$10-$20,,,,,,,,,,,,,,,,,,
2025-02-06,Culver's,,Fast Food,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,,,,,,,,,,,,,,,,,,
2025-02-06,Whispering Pies,,Pizza,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,,,,,,,,,,,,,,,,,,
2025-02-07,Talamore Golf Course,,American,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,,,,,,,,,,,,,,,,,,
2025-02-07,Pinehurst Golf Course,,American,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$30-$50,,,,,,,,,,,,,,,,,,
2025-02-08,Tobacco Road Golf Course,,American,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,,,,,,,,,,,,,,,,,,
2025-02-08,Vaquera Bar & Cocina,,Mexican,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,13.99,,,,,,,,,,,,,,,,,
2025-02-09,Al's Burger Shack,,Burger,"Jed, Jiwei, Kevin, Jordan, Jason, Nik",$10-$20,,,,,,,,,,,,,,,,,,
2025-02-19,Manousheh Grand,,Lebanese,"Wilson, Keith",,,,,,,,,,,,,,,,,,,
2025-02-23,Sandwell,,,,,,,,,,,,,,,,,,,,,,
2025-02-28,Chili's,,American,"Jiwei, Jed, Deezy, Weezy, Opara, Jordan",,,,,,,,,,,,,,,,,,,
2025-03-01,Honey Pie,,American,"Jiwei, Jed, Deezy, Weezy, Opara, Jordan",,,,,,,,,,,,,,,,,,,
2025-03-02,Chili's,,American,"Jiwei, Jed, Deezy, Weezy, Opara, Jordan",,,,,,,,,,,,,,,,,,,
2025-03-20,Starbuck's,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,Chik-fil-a,,,,,,,,,,,,,,,,,,,,,,
2025-03-21,Chinese Restaurant,,,"Bambi, Jiwei, Peter, Nina, Caroline, Michael, Zada, Joe, Claire",,,,,,,,,,,,,,,,,,,
2025-03-22,Brunch Lunch Dinner,,,"Bambi, Jiwei, Peter, Nina",,,,,,,,,,,,,,,,,,,
,Fogo,,,"Jiwei, Jed, Weezy, Opara, Leo, Kevin, Wilson, Tharan",,70,,,,,,,,,,,,,,,,,
,Chili's,,,"Kevin, Jiwei, Jed",,,,,,,,,,,,,,,,,,,
,Sandwell,,,Kevin,,,,,,,,,,,,,,,,,,,
,Dim Sum Sam,,,"Kevin, Tharan, Jiwei, Wilson",,,,,,,,,,,,,,,,,,,
,99 Favors,,,"Keith, Wilson, Jiwei, Tharan",,,,,,,,,,,,,,,,,,,
,Burger King,,,"Kevin, Jiwei, Jed",,,,,,,,,,,,,,,,,,,
,O'Hara's,,,"Kevin, Jiwei, Jed",,,,,,,,,,,,,,,,,,,
,City Diner,,,"Mom, Dad, Matthew",,,,,,,,,,,,,,,,,,,
,Cheesecake Factory,,,"Mom, Dad, Matthew",,,,,,,,,,,,,,,,,,,
,Katz's Deli,,,"Mom, Dad, Matthew",,,,,,,,,,,,,,,,,,,
,Bahama Breeze,,,"Mom, Dad, Matthew",,,,,,,,,,,,,,,,,,,
,Napoli's Pizza,,,"Mom, Dad, Matthew",,,,,,,,,,,,,,,,,,,
,Phonomenal,,,"Jiwei, Chloe, Elaine",,,,,,,,,,,,,,,,,,,
,Dim Sum Sam,,,"William, Jiwei, Michael, Jed, Kevin, Joe",,,,,,,,,,,,,,,,,,,
,Indian Restaurant,,,"Jiwei, Tharan, Jed",,,,,,,,,,,,,,,,,,,
,7th Street Burger,,,"Deezy, Jiwei, Jed",,,,,,,,,,,,,,,,,,,
,Empanada Mama,,,,,,,,,,,,,,,,,,,,,,
,King Cajun,,,,,,,,,,,,,,,,,,,,,,
,Piki Poke,,,,,,,,,,,,,,,,,,,,,,
,Amor,,,Morgan,,,,,,,,,,,,,,,,,,,
,Black Bear,,,Daniela,,,,,,,,,,,,,,,,,,,
,Yia Yia's,,,"Deezy, Leo, Jiwei",,,,,,,,,,,,,,,,,,,
,Hoboken Pizzeria,,,,,,,,,,,,,,,,,,,,,,
,Violet's Jamaican Food,,,"Kevin, Jiwei",,,,,,,,,,,,,,,,,,,
,GTK,,,,,,,,,,,,,,,,,,,,,,
,Melt Town,,,,,,,,,,,,,,,,,,,,,,
,Margeritaville,,,"Kevin, Jed, Tharan, Deezy, Weezy, Leo, Jiwei",,,,,,,,,,,,,,,,,,,
