Ranking,TV Shows Watched,People Seen With,TV Review,Movies Watched,People Seen With,Movie Review,Broadway Watched,People Seen With,Broadway Review
,Squid Game Season 2,,,Captain America: Brave New World,"Joe, Claire, Jacob L., Eric S.",,Harry Potter and the Cursed Child,,
,Cobra Kai Season 6 Part 2,,,Glass Onion,,,Harry Potter and the Cursed Child,,
,Sweet Tooth Season 2,,,Venom Last Dance,,,Harry Potter and the Cursed Child,,
,Blue Lock Season 1,"Michael, Joe, Bambi, Spencer, Tim, Jiwei",,The Amateur,Dad,,Harry Potter and the Cursed Child,Dad,
,Abbott Elementary Season 3,,,Thunderbolts*,,,Les Miserables,Morgan,
,Friendly Neighborhood Spiderman Season 1,,,Karate Kid: Legends,"Joe, Claire",,,,
,Severance Season 2,"Joe, Kevin, Claire, Jiwei",,Fantastic Four: First Steps,,,,,
,Witcher Season 3,,,Superman,"Joe, Aidan, Claire, Aniko",,,,
,Blue Lock Season 2,,,War of the Worlds,"Joe, Jiwei, Claire, Kevin",,,,
,Solo Leveling Season 1,,,Shin Godzilla,"Joe, Jiwei",,,,
,Solo Leveling Season 2,,,Royal Tenebaums,,,,,
,Cobra Kai Season 6 Part 3,,,Falling Down,,,,,
,Invincible Season 3,,,Full Metal Jacket,,,,,
,Shogun Season 1,,,Shaun of the Dead,"Jiwei, Weezy, Annie",,,,
,Hellbound Season 2,,,John Wick,,,,,
,White Lotus Season 3,"Joe, Kevin, Claire, Jiwei",,Chainsaw Man: Reze Arc,"Kevin, Leo",,,,
,Daredevil Born Again Season 1,,,Now You See Me: Now You Don't,"Joe, Jiwei",,,,
,Andor Season 2,"Joe, Kevin, Claire, Jiwei",,Wicked for Good,"Mom, Dad, Matthew, Morgan",,,,
,The Studio Season 1,"Joe, Kevin, Claire, Jiwei",,JJK Recap Movie,,,,,
,Boondocks Season 1,,,Avatar: Fire and Ash,"Mom, Dad, Matthew, Morgan",,,,
,Boondocks Season 2,,,Sinners,"Joe, Claire",,,,
,Boondocks Season 3,,,,,,,,
,Boondocks Season 4,,,,,,,,
,Devil's Plan Season 2,,,,,,,,
,Squid Game Season 3,,,,,,,,
,Always Sunny Season 15,,,,,,,,
,Peacemaker Season 2,,,,,,,,
,Gen V Season 2,,,,,,,,
,Smiling Friends Season 3,,,,,,,,
,Alice in Borderlands Season 3,,,,,,,,
,One Punch Man Season 3,,,,,,,,
,My Hero Academia Season 7,,,,,,,,
