Date,Course,State,Tee Time,Weather,Duration (minutes),Group Size,Players,Scramble Team,Solo Birdies?,Solo Eagle,Cart?,Drive?,Cart Partner,Tee Box,Distance,Holes Played,Own Score?,Game,Game Winner,Par,Score,Front 9,Back 9,Bunker Shots,Water Hazard,Ball Lost,Gallery Rules,Putts,FIR%,GIR%,Eagle Looks,Eagles,Birdie Looks,Birdies,Pars,Bogeys,Double Bogeys,Triple Bogeys+,0 Putts,1 Putts,2 Putts,3+ Putts,Golf Jacket Color,Golf Shirt Color,Golf Pants Color,Golf Socks Color,Golf Shoe Color,Golf Hat Color
2026-01-01,RiverPines Golf Course,Georgia,13:10,Cloudy,252,4,"Random, Random, Random",,,,Yes,No,Random,White,5785,18,Yes,Regular,,70,84,42,42,1,1,1,0,31,57,39,0,0,7,0,8,7,2,1,0,5,13,0,Lime Green,Lime Green,Brown,Dark Green,White/Green,Black
2026-01-05,Heritage Golf Course,Georgia,08:30,Fog,191,1,,,,,Yes,Yes,,White,5750,18,Yes,Regular,,72,77,38,39,0,1,3,2,33,79,56,2,0,11,2,10,5,1,0,0,4,13,1,Pastel Green,Cadmium Green,Brown,Neon Green,White/Green,Black
2026-03-15,Skyway Golf Course,New Jersey,08:40,Windy,150,4,"Jed, Kevin, Paul",Kevin,0,,No,,,Gold,3020,9,No,Scramble,,36,38,,,0,0,0,0,16,100,67,0,0,6,0,8,0,1,0,0,2,7,0,Lime Green,Cadmium Green,Green,Lime Green,White/Green,Dark Green
2026-03-15,Skyway Golf Course,New Jersey,11:30,Windy,150,4,"Jed, Kevin, Paul",,,,No,,,Gold,3020,9,Yes,Regular,,36,46,,,0,0,1,1,20,54,33,0,0,3,0,1,6,2,0,0,1,6,2,Lime Green,Cadmium Green,Green,Lime Green,White/Green,Dark Green
2026-03-22,Weequahic Golf Course,New Jersey,09:24,Cloudy,240,4,"Jed, Kevin, Nik",,,,No,,,Blue,5558,18,Yes,Wolf,Kevin,70,86,44,42,2,0,1,0,37,83,33,0,0,6,0,5,10,3,0,0,2,13,3,Lime Green,Lime Green,Black,Jungle,White/Green,Dark Green
2026-03-29,Silver Lake Golf Course,New York,07:10,Cloudy,248,4,"Jed, Kevin, Jiwei",,,,Yes,No,Kevin,Blue,5709,18,Yes,High-Low,"Myles, Kevin",70,90,47,43,0,0,1,1,31,64,6,0,0,1,1,2,10,4,1,1,5,10,2,Forest Green,Jungle Green,Green,White,White/Green,Eucalyptus
2026-04-13,Skyway Golf Course,New Jersey,07:00,Sunny,112,3,"Random, Random",,,,No,,,Gold,3020,9,Yes,Regular,,35,42,,,3,0,1,1,13,50,11,0,0,1,1,3,3,2,0,0,5,4,0,,Blue,Green,Turquoise,White,
2026-04-15,Skyway Golf Course,New Jersey,12:30,Sunny,120,4,"Kevin, Random, Random",Kevin,1,,No,,,Black,3247,9,No,Scramble,,36,38,,,1,0,2,0,18,,,0,0,6,1,5,3,0,0,0,2,6,1,,Jungle Green,Green,,White,
2026-04-20,Indian Island,New York,09:00,Hail,233,4,"Jiwei, Kevin, Deezy",,,,Yes,No,Deezy,Blue,6516,18,Yes,Wolf,Kevin,72,90,46,44,4,0,0,0,36,43,22,0,0,4,0,4,10,4,0,0,2,14,2,Lime Green,Cadmium Green,Verdigris,Lime Green,White/Green,Forest Green
2026-04-20,Willow Creek,New York,14:00,Windy,247,4,"Jiwei, Kevin, Deezy",,,,Yes,Yes,Jiwei,Blue,6311,18,Yes,"Animals, High-Low","Myles, Jiwei",72,90,43,47,5,2,2,0,32,46,28,0,0,5,2,3,6,6,1,0,5,12,1,Lime Green,Cadmium Green,Verdigris,Lime Green,White/Green,Forest Green
2026-04-21,West Sayville Golf Course,New York,07:20,Sunny,209,3,"Jiwei, Deezy",,,,Yes,Yes,,White,6130,18,Yes,Regular,,72,78,37,41,0,0,0,0,32,36,44,1,1,7,1,8,7,1,0,0,5,12,1,Lime Green,Lime Green,Khaki,White,White/Green,Dark Green
2026-04-26,Bethpage Black,New York,12:30,Windy,301,4,"Paul, James, Kevin",,,,No,,,Middle,6757,18,Yes,Regular,,71,102,53,49,8,0,0,0,34,57,6,0,0,1,0,0,8,7,3,0,3,14,1,Lime Green,Lime Green,Dark Green,Lime Green,White/Green,Eucalyptus
2026-04-29,Lincoln Park | Meadows Golf Club,New Jersey,10:30,Cloudy,252,3,"Kevin, Font",,,,No,,,Blue,6393,18,Yes,Regular,,70,79,40,39,1,1,6,1,31,43,28,0,0,5,1,8,8,1,0,0,6,11,1,Emerald Green,Electric Lime,Emerald Green,Black,White/Green,Forest Green
2026-05-03,Van Cortlandt Park Golf Club,New York,05:54,Cloudy,240,3,"Jed, Kevin",,1,,Yes,No,Jed,Black,6002,18,No,Scramble,,70,72,38,34,0,0,5,0,29,,,0,0,8,5,6,6,1,0,1,8,9,0,Forest Green,White,Forest Green,Lime Green,White/Green,Cadmium Green
2026-05-06,Skyway Golf Course,New Jersey,08:00,Windy,120,3,"Kevin, Random",,0,,No,,,Gold,3020,18,No,Shamble,,36,60,,,4,0,3,0,20,17,0,0,0,0,0,0,0,5,4,0,0,7,2,,Lime Green,Navy Blue,Lime Green,White/Green,Forest Green
2026-05-11,Van Cortlandt Park Golf Club,New York,05:54,Sunny,240,4,"Jed, Kevin, Jiwei",,0,,Yes,No,Kevin,Black,6002,18,No,Scramble,,72,65,,,0,0,2,0,,,,0,0,13,7,11,0,0,0,0,9,9,0,Fern Green,Seafoam Green,Black,Kelly Green,White/Green,Cadmium Green
2026-05-17,Skyway Golf Course,New Jersey,16:20,Sunny,120,4,"Jed, Nik, Kevin",,0,,Yes,No,Nik,Gold,3020,9,No,Scramble,,36,34,,,1,0,3,0,12,,,0,0,3,3,5,1,0,0,1,3,5,0,,Cadmium Green,Emerald Green,Black,White/Green,Cadmium Green
2026-05-21,Copper Rock Golf Course,Utah,09:00,Sunny,274,4,"Jiwei, Kevin, Jackson",,,,Yes,Yes,Jackson,Gold,6185,18,Yes,Regular,,72,85,45,40,4,0,1,1,34,71,50,0,0,9,2,5,9,0,2,0,5,10,3,,White,Forest Green,Lime Green,White/Green,Forest Green
2026-05-22,Wolf Creek Golf Course,Arizona,09:00,Sunny,302,4,"Tharan, Jackson, Paul",,,,Yes,Yes,Tharan,Masters,5798,18,Yes,Regular,,72,89,42,47,1,0,2,0,33,64,28,0,0,5,1,4,9,3,1,0,5,11,2,,Jungle Green,Dark Blue,Neon Green,Black/Green,Lime Green
2026-05-23,Sand Hollow Resort Golf Coures,Utah,09:00,Sunny,272,4,"Jackson, Paul, Nik",,,,Yes,Yes,Jackson,Combo,5934,18,Yes,Regular,,72,87,43,44,1,0,1,1,35,71,39,0,0,7,0,7,8,2,1,0,5,9,4,,Cadmium Green,Emerald Green,Neon Green,White/Green,Kelly Green
2026-05-24,Black Desert Resort Golf Course,Utah,12:00,Sunny,294,4,"Jed, Damien, Nik",,,,Yes,Yes,Nik,Weiskopf,6474,18,Yes,Regular,,72,88,47,41,0,0,4,0,32,57,28,0,0,5,1,6,6,4,1,1,5,10,3,,Light Green,Aquamarine,Lime Green,White/Green,Black
2026-05-25,Black Desert Resort Golf Course,Utah,12:10,Sunny,299,4,"Jed, Paul, Nik",,,,Yes,Yes,Jed,Weiskopf,6474,18,Yes,Regular,,72,87,47,40,7,0,7,2,30,43,22,0,0,4,3,3,7,4,1,0,6,12,0,,White,Forest Green,Electric Lime,Black/Green,Kelly Green
