Date,Restaurant,Restaurant Type,Group,Food Ordered,Food Rating,Drink Ordered,Drink Rating
2026-01-01,Nando's,South African,"Mom, Dad, Matthew, Morgan",Mango Lime Wings and Fries,10,,
2026-01-02,Chik-Fil-A,Fast Food,Mom,Spicy Chicken Sandwich Deluxe,8,,
2026-01-03,Grindhouse,American,"Mom, Dad, Matthew, Morgan",Apache Style Turkey Burger w/ Sweet Potato Fries and Green Tomatoes,9,,
2026-01-15,Han Dynasty,Chinese,Scialabba,Hot Pepper Shrimp,9,,
2026-01-16,Tapville,Beer Garden,Abi,,,Secret of the Brew,8
2026-01-17,Tapville,Beer Garden,"Abi, Jed, Abi's friend, Kevin, Jiwei ","Tapville Signature Burger, Fried Avocado, Cheese Curds, Fries",8,,
2026-01-18,House of Joy,Chinese,"Tharan, Kevin, Jed, Jiwei, Abi","Taro Bun, Pork Shu Mai, Shrimp Dumpling, Egg Bun, Pork Bun",10,,
2026-01-10,Wing Bar,Wings,"Tharan, Kevin, Jed, Jiwei, Leo",Buffalo Wings w/ Old Bay Sauce,7,,
2026-01-19,Turning Point,Breakfast,"Abi, Jiwei",Banana Walnut Pancake w/ Side of Fruit,9,,
2026-01-18,Saravanaa Bhavan,Indian,"Abi, Jiwei",Spicy Dosa,8,Mango Lassi,10
2026-01-29,Puttery,American,Betsy,Chicken Sandwich,8,,
2026-01-29,Aubi & Ramsa,Ice Cream,Betsy,Passionfruit Sorbet,8,,
2026-02-05,Turning Point,Breakfast,,"Shrimp Omlette, Cinnamon Bun Pancakes",10,,
2026-02-07,Tapville,Beer Garden,"Jed, Kevin, Jiwei, Jordan","Whiskey Barrel, Fried Pickles",9,Passionfruit Cider,9
2026-02-09,J. Alexander's,American,"Mom, Dad, Matthew, Lawrence, Tiffany, Larnell, Lyndall, LeAndria, Warnell, Robin, Charles, Norman, Mildred, Brenna",Salmon Burger,7,,
2026-02-13,Sweetgreen,Salad,Betsy,Guacamole Greens,8,,
2026-02-13,16 Handles,Froyo,Betsy,"Mango Sherbert, Oat Milk",7,,
2026-02-16,GTK,Mexican,Leo,Pulled Pork Burrito,9,,
2026-02-21,Chelsea Market,Jamaican,Betsy,Jerk Chicken,8,,
2026-02-26,Cava,Mediterrean,Betsy,Spicy Lamb and Sweet Potato,7,,
2026-02-28,Empanada Cafe,Argentinian,Scialabba,"Spinch Empanada, Chorizo Empanada, Blueberry Empanada",10,,
2026-03-22,62 Secret Kitchen,Chinese,"Jed, Kevin, Kira","Beef Dumplings, Shrimp Dumplings, 2 Beef Dishes, Scallion Pancakes",10,,
2026-03-29,Hook & Reel,Seafood,"Jed, Kevin, Jiwei","Cajun Oysters, Fried Shrimp, Coconut Shrimp",9,,
2026-04-02,Greene Hook,American,"Mom, Dad, Matthew","2 Shrimp Tacos, 1 Beef Taco",8,,
2026-04-03,Hyatt Regency,Breakfast,"Mom, Dad, Matthew, Morgan","Eggs, Potatoes, Sausage",8,,
2026-04-03,Katz's Deli,Sandwich,"Mom, Dad, Matthew, Morgan",Pastrami Sandwich,10,,
2026-04-04,Hyatt Regency,Breakfast,"Mom, Dad, Matthew, Morgan","Eggs, Potatoes, Sausage, Pancake",8,,
2026-04-04,LTD Pizza,Pizza,"Mom, Dad, Matthew, Morgan","Pesto, LTD Slice, Broccoli and Beef",9,,
2026-04-05,City Diner,Breakfast,"Mom, Dad, Matthew, Morgan",Apple Pie Pancake,9,,
2026-04-05,Cheesecake Factory,American,"Mom, Dad, Matthew, Morgan",Bang Bang Shrimp,8,,
2026-04-09,Five Guys,Fast Food,Jiwei,Regular Burger,9,,
2026-04-10,The Belgian Plate,Breakfast,,Chicken and Waffles,9,,
2026-04-10,Carlito's,Mexican,,"Birria Taco, Empanada Quesadilla, Pork Taco",10,,
2026-04-13,Chik-Fil-A,Fast Food,,Spicy Chicken Sandwich,9,,
2026-04-16,Bird & Box,Chicken,,Hot Honey Chicken Biscuit,8,,
2026-04-18,Cava,Mediterrean,,Spicy Lamb and Falafel Salad,9,,
2026-04-19,Tony's Tacos,Mexican,"Deezy, Jiwei, Kevin","Shrimp Taco, Shrimp Taco, Cod Taco, Burger Taco, Chicken Taco, Shrimp and Steak Taco",10,,
2026-04-20,Won,Korean,"Deezy, Jiwei, Kevin","Pork Jowl, Beef, Steamed Egg",5,,
2026-04-21,Tony's Tacos,Mexican,"Deezy, Jiwei","Shrimp Taco, Shrimp Taco, Cod Taco, Burger Taco, Chicken Taco, Shrimp and Steak Taco",10,,
2026-04-21,Coqodaq,Korean,"Opara, Deezy, Jed, Kevin, Jiwei",Korean Fried Chicken,10,Russian,8
2026-04-23,Dim Sum Sam,Chinese,"Jiwei, Leo, Michael",Roast Duck and Pork Belly Bowl,9,,
2026-04-24,Bird & Box,Chicken,,Truffle Chicken Biscuit,9,,
2026-04-24,Juice Eternity,Juicery,,Coconut Banana Bowl,7,,
2026-04-26,Bethpage Black,American,"Paul, James, Kevin",Chicken Quesadilla,7,,
2026-04-26,Popeye's,Fast Food,,Spicy Chicken Sandwich,8,,
2026-04-27,Playa Bowl,Juicery,"Kevin, Leo, Joe",Green Lola Bowl,9,,
2026-04-28,Betr Burger,Vegan,,Vegan Burger with Waffle Fries,6,,
2026-05-17,Don Huang Noodles,Chinese,"Jed, Kevin","Lamb Skewers, Beef and Green Pepper Noodle Soup",10,,
2026-05-21,Mo'Bettahs,Hawaiian,"Nik, Jackson, Jiwei, Jed, Paul, Tharan, Kevin",Pork Pineapple Rice Hawaiian Food,8,,
2026-05-22,Sand Hollow,American,"Nik, Jackosn, Jiwei, Paul, Kevin",Burger,8,,
2026-05-23,Black Desert,American,"Nik, Tharan, Damian, Jed, Jiwei, Paul, Kevin",Tilapia and Potatoes,9,,
2026-05-24,Black Desert,American,"Jed, Damian, Nik",Fish Taco/Chicken Waffle Sandwich,10,,
2026-05-25,Black Desert,American,"Jed, Paul, Nik",25 Tacos,10,,
2026-05-30,Tiki Chick,Chicken,Kevin,2 Volcano Chicken Sandwiches,10,,
2026-05-31,Burger King,Fast Food,"Kevin, Jiwei, Jed",Sausage Croissantwich,9,,
2026-06-05,Pizza Studio,Pizza,"Kevin, Jiwei, Tharan, Jed",Bacon Sausage Green Peppers Jalepeno Pizza,10,,
2026-06-06,Pizza Studio Tamaki,Pizza,"Kevin, Jiwei, Tharan","Butter Chicken Pizza, Honey Cheese Pizza",10,,
2026-06-07,Paisley,Indian,Allison,Butter Chicken w/ Garlic Naan,8,,
2026-06-15,Burger King,Fast Food,"Wilson, Kevin",Croissantwich,8,,
2026-06-16,Wild Turkey Golf Club,American,Kevin,Smash Burger,9,,
2026-06-16,Razza,Pizza,"Tharan, Kaya, Kevin, Jed, Jiwei","Sausage Pizza, Burrata Pizza, Margarhita Pizza, Spicy Pizza, etc",10,,
2026-06-20,Nando's,Chicken,"Mom, Morgan, Matthew, Dad",Mango Lime Wings,9,,
2026-06-30,Capoeira Restaurant,Brazilian,"Jed, Abi, Jiwei",Shrimp Tacos,9,,
2026-07-02,Dosa Spot,Indian,Abi,Dosa,8,,
2026-07-05,Sports Bar in Astoria,Bar Food,Allison,Fish Tacos and Tater Tots,8,,
2026-07-06,The Long Room,Bar Food,"Kevin, Weezy, Connor, Kevin, Fusco, Annie, Leo, Jiwei",Chili Lime Wings and Pepperoni Flatbread,8,Lychee Martini,9
2026-07-11,O'Hara's,Bar Food,"Leo, Deezy, Jed",Bang Bang Shrimp and Sliders,9,Peach Tea Surfside,7
2026-07-12,Bodhi,Chinese,"Claire, Joe, William, Annie, Wilson, Jiwei",Vegan Chinese Food,8,Chinese Beer,6
2026-07-18,Tacoria,Mexican,"Jiwei, Jed",Golden Avocado Quesadilla,9,,
2026-07-18,Torico,Ice Cream,"Jiwei, Jed",Oatmeal Cinnamon Raisin Cookie,9,,
2026-07-19,Playa Bowl,Juicery,Joe,,,,
2026-07-22,Kidilum,South Indian,"Tharan, Jiwei, Jed",South Indian Food,10,,
2026-07-30,Churrascaria Plataforma Steakhouse,Brazilian,"Deezy, Weezy, Jiwei, Tharan, Kristen, Justin, Jenny, Annie, Jed, Wilson",Brazilian Meats,9,Shot,4
2026-08-10,B Bagel,American,"Jiwei, Chloe",Turkey Sausage Egg and Cheese,8,,
2026-08-12,Meximodo,Mexican,Kevin,Shrimp Tacos,10,Habenero Margerita,10
2026-08-14,Colonial Grille,American,Kevin,Sirloin w/ Fries,9,,
2026-08-15,Crave Sushi Bar,Sushi,Tiffany,"Salmon, Roe, Tuna, Scallop",9,Lychee Martini,9
2026-08-27,Deep Dish Chicago Pizza,Pizza,"Brett, Scialabba, Jackson, Sam, Sam C., Anthony",Deep Dish Sausage Pizza,8,,
2026-08-28,Chicago Cheesesteak,American,"Brett, Scialabba, Jackson, Sam, Sam C., Anthony",Beef Sandwich with Fries,8,,
2026-08-29,Wingstop,American,"Brett, Scialabba, Jackson, Sam, Sam C., Anthony",Boneless Wings,8,,
2026-08-30,Chicago Breakfast,Breakfast,"Sam, Sam C.",Pumpkin Pancakes and Chorizo,8,,
2026-08-30,Firehouse Subs,Sandwich,"Mom, Morgan, Matthew, Dad",Pastrami Sandwich,8,,
2026-09-01,Blueberry Grille's,Breakfast,"Mom, Morgan, Matthew, Dad",Blueberry French Toast,8,,
2026-09-01,Chuck's,American,"Mom, Matthew, Dad",Crab Cakes and Lobster Bites,8,,
2026-09-02,Nando's,Chicken,"Mom, Dad",Chicken Wings,8,,
2026-09-04,Meximodo,Mexican,Kevin,Steak Tacos,8,,
2026-09-05,tan,Mexican,Tiffany,Shrimp and Crab Enchilada,8,,
2026-09-06,Shoo Long,Chinese,"Jed, Deezy, Manu, Jiwei, Leo",Hot Pot,8,,
2026-09-09,Tiki Chick,Chicken,Kevin,"Volcano Chicken Sandwich, Volcano Chicken Sandwich",8,,
2026-09-11,UES Bar,Bar Food,"Weezy, Annie",Bang Bang Shrimp,8,,
2026-09-19,Burger King,Fast Food,"Jiwei, Jed, Jonah",Sausage Egg Croissantwich,7,,
2026-09-19,Meximodo,Mexican,"Jiwei, Jed, Jonah",Chef's Taco Board,10,,
