TV Shows Watched,TV Rating,TV Review,Movies Watched,Movie Rating,Movie Review,Broadway Watched,Broadway Rating,Broadway Review
Stranger Things Season 5,5,Where were all the demogorgans at the end? Why was there an hour long epilouge? Why was Vecna so weak in his final battle?He mowed through trained military soldiers but couldn't handle a couple of kids??? Why did the military let the party go when they killed 10+ soldiers?? Why was the upside down so safe? What happened to Murray? Why did no one die except El's sister? I did like how the upside down was a wormhole that was cool. Might be the biggest disappointment of a finale this year,Predator Badlands,10,This movie was so good and so short. No scene was wasted and the action was some the best I've seen. Great way to start the year,Aladdin,8,Really liked it but the ending was rushed and I still believe that the animated version is the superior version of the story
One Punch Man Season 3,3,The only thing keeping this from a 1 is the story and some scenes. Animation was atrocious. I really hope a new studio takes over this one.,GOAT,8,Pretty fun kid's movie,Hadestown,10,
Dark Season 1,8,This show had so many good twists and turns. I thought it was going to be just German stranger things but I was pleasantly surprised on where the story went and how many things were left unresolved by the end of the first season. Can't wait to watch the rest!,Super Mario Galaxy Movie,8,Pretty fun kid's movie and had a lot for long term fans of Nintendo,,,
Wonder Man Season 1,9,"Very underrated show, it was kind of like the studio but set the MCU, the first Disney+ marvel show that actually felt like a show instead of a long movie",Backrooms,9,v scary and great artistic style with an interesting story.,,,
Pluribus Season 1,8,"The concept of this is so interesting that it keeps you gripped, the morality of the story is also very interesting/motivations of the characters are compelling, the only gripe is that I feel like some of the fat can be trimmed on the episodes but overall very good. Vince doesnt miss",Supergirl,6.5,A good time at the movies but a movie that I will not think about again. Lobo was fun but Supergirl getting nerfed every other scene got pretty annoying,,,
Dark Season 2,8,,Odyssey,10,"Truly a great year for the cinema, the circe scene and the odysseus bow scene make this a 10 alone, then you throw King Aggy aura farming and it takes it to a whole nother level. My only gripe is that the beginning is a little slow",,,
Dark Season 3,8,,The Furious,10,WHAT A MOVIE!!! The most fun I've had in a theater in a long time,,,
Daredevil Born Again Season 2,8,,TADC Finale,8,Finally a good conclusion to a series I've been following. Not perfect but still good,,,
The Boys Season 5,6,Just a completely mishandled finale much like the stranger things finale,Acme vs. Coyote,9,Surprisingly good movie with excellent comedic timing and usage of the Looney Toons while staying true to their characters. I expected Wiley/Road Runner to talk at some point during the movie but they stuck to their characterizations which I found very impressive,,,
Invincible Season 4,9,Thragg is the GOAT,,,,,,
Fionna and Cake Season 2,7,Fionna was extremely frustrating to watch this season but everything else about the show worked very well for me,,,,,,
Spider Noir Season 1,9,Very fun season of TV tht,,,,,,
Rick and Morty Season 9,10,"The whole season of Rick and Morty had banger after banger episode, it might be my favorite sesason of the show so far",,,,,,
Widow's Bay Season 1,10,,,,,,,
Among Us Season 1,9,Super fun TV show that I feel like camee out way too late to capture the hype of Among Us,,,,,,
The Bear Season 5,,,,,,,,
President Curtis Season 1,,,,,,,,
Lanterns Season 1,,,,,,,,
